         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,13847e+001  5,50000e+001  9,99998e-003  1,10000e-001  5,85741e+001 -7,11601e-002  2,10000e-001  4,51220e+002  2,50000e+001  5,41244e+003 -3,88286e+002  5,42635e+003 -7,17396e-002  1,83814e-004 -1,31867e-005  1,84286e-004
             1  2,17981e+001  1,45000e+002  5,01000e+000  1,27943e-001  2,09838e+001  2,83644e-001  5,94375e-001  5,37965e+002  2,50000e+001  1,69438e+004  4,92912e+003  1,76462e+004  2,90911e-001  5,44137e-005  1,58295e-005  5,66695e-005
             2  2,17223e+001  1,66000e+002  1,00100e+001  1,39528e-001  1,74216e+001  2,45828e-001  6,68836e-001  5,71660e+002  2,50000e+001  2,25082e+004  5,60706e+003  2,31961e+004  2,49112e-001  4,18322e-005  1,04209e-005  4,31107e-005
             3  2,17866e+001  1,81000e+002  1,50100e+001  5,04576e-001  6,37450e+001  2,10559e-001  6,88595e-001  5,85952e+002  2,50000e+001  2,24322e+004  4,72305e+003  2,29240e+004  2,10548e-001  4,26865e-005  8,98755e-006  4,36224e-005
             4  2,17979e+001  1,84000e+002  2,00100e+001  4,96224e-001  6,51590e+001  1,64715e-001  7,07318e-001  6,05890e+002  2,50000e+001  2,17689e+004  3,51910e+003  2,20515e+004  1,61657e-001  4,47672e-005  7,23694e-006  4,53484e-005
             5  2,18825e+001  1,95000e+002  2,50100e+001  5,03646e-001  6,58902e+001  1,88352e-001  7,45282e-001  6,25516e+002  2,50000e+001  2,17621e+004  4,02178e+003  2,21306e+004  1,84806e-001  4,44338e-005  8,21163e-006  4,51862e-005
             6  2,19040e+001  1,98000e+002  3,00100e+001  5,01184e-001  6,43000e+001  1,77160e-001  7,51166e-001  6,39932e+002  2,50000e+001  2,22394e+004  3,82422e+003  2,25658e+004  1,71957e-001  4,36739e-005  7,51005e-006  4,43149e-005
             7  2,19256e+001  2,16000e+002  3,50100e+001  4,95398e-001  6,50209e+001  1,99005e-001  7,46849e-001  6,53217e+002  2,50000e+001  2,16520e+004  4,18553e+003  2,20528e+004  1,93309e-001  4,45215e-005  8,60641e-006  4,53457e-005
             8  2,19567e+001  2,20000e+002  4,00100e+001  5,25180e-001  6,90986e+001  2,23527e-001  7,48383e-001  6,71967e+002  2,50000e+001  2,14915e+004  4,67771e+003  2,19947e+004  2,17654e-001  4,44255e-005  9,66939e-006  4,54656e-005
             9  2,19097e+001  2,29000e+002  4,50100e+001  5,23798e-001  6,89986e+001  2,58060e-001  7,57191e-001  6,96166e+002  2,50000e+001  2,12932e+004  5,38516e+003  2,19636e+004  2,52905e-001  4,41401e-005  1,11632e-005  4,55298e-005
            10  2,18684e+001  2,32000e+002  5,00100e+001  5,26866e-001  6,94396e+001  2,96429e-001  7,75067e-001  7,21819e+002  2,50000e+001  2,10614e+004  6,16950e+003  2,19464e+004  2,92929e-001  4,37281e-005  1,28092e-005  4,55655e-005
