         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,18666e+001  5,50000e+001  9,99998e-003  0,00000e+000  1,39536e+002  2,90865e+000  3,45000e-001  1,49783e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,19126e+001  1,49000e+002  5,01000e+000  2,80000e-001  3,71363e+001  5,98561e-002  8,91875e-001  4,48666e+002  2,50000e+001  2,17982e+004  1,28319e+003  2,18359e+004  5,88667e-002  4,57170e-005  2,69121e-006  4,57961e-005
             2  2,18587e+001  1,71000e+002  1,00100e+001  2,73947e-001  3,59081e+001  1,09737e-001  1,16234e+000  5,51404e+002  2,50000e+001  2,19666e+004  2,37275e+003  2,20943e+004  1,08017e-001  4,49987e-005  4,86061e-006  4,52604e-005
             3  2,18481e+001  1,79000e+002  1,50100e+001  1,01320e+000  1,34233e+002  1,10845e-001  1,25807e+000  5,88772e+002  2,50000e+001  2,17316e+004  2,34452e+003  2,18577e+004  1,07886e-001  4,54866e-005  4,90735e-006  4,57505e-005
             4  2,18405e+001  1,89000e+002  2,00100e+001  6,44432e-001  8,60783e+001  7,25158e-002  1,32207e+000  6,13235e+002  2,50000e+001  2,16278e+004  1,46828e+003  2,16776e+004  6,78885e-002  4,60247e-005  3,12455e-006  4,61306e-005
             5  2,18465e+001  1,92000e+002  2,50100e+001  1,00781e+000  1,35432e+002  7,25327e-002  1,42545e+000  6,54920e+002  2,50000e+001  2,14965e+004  1,43299e+003  2,15442e+004  6,66615e-002  4,63134e-005  3,08732e-006  4,64161e-005
             6  2,18402e+001  2,01000e+002  3,00100e+001  1,00279e+000  1,35529e+002  7,10876e-002  1,50162e+000  6,75292e+002  2,50000e+001  2,13749e+004  1,36719e+003  2,14186e+004  6,39624e-002  4,65932e-005  2,98022e-006  4,66885e-005
             7  2,18344e+001  2,05000e+002  3,50100e+001  1,00612e+000  1,36755e+002  6,38370e-002  1,50855e+000  6,77057e+002  2,50000e+001  2,12609e+004  1,17832e+003  2,12935e+004  5,54218e-002  4,68907e-005  2,59876e-006  4,69626e-005
             8  2,18474e+001  2,15000e+002  4,00100e+001  1,00729e+000  1,37611e+002  6,43843e-002  1,49790e+000  6,76536e+002  2,50000e+001  2,11500e+004  1,15756e+003  2,11816e+004  5,47310e-002  4,71402e-005  2,58003e-006  4,72107e-005
             9  2,18544e+001  2,18000e+002  4,50100e+001  9,97936e-001  1,37170e+002  6,90465e-002  1,49524e+000  6,75767e+002  2,50000e+001  2,10123e+004  1,22250e+003  2,10478e+004  5,81803e-002  4,74306e-005  2,75953e-006  4,75108e-005
            10  2,18572e+001  2,25000e+002  5,00100e+001  1,00126e+000  1,38531e+002  7,21050e-002  1,49604e+000  6,74721e+002  2,50000e+001  2,08678e+004  1,25242e+003  2,09054e+004  6,00165e-002  4,77486e-005  2,86571e-006  4,78345e-005
            11  2,18522e+001  2,28000e+002  5,50100e+001  1,02899e+000  1,43370e+002  7,54667e-002  1,49717e+000  6,74459e+002  2,50000e+001  2,07139e+004  1,28754e+003  2,07538e+004  6,21585e-002  4,80910e-005  2,98927e-006  4,81839e-005
            12  2,18457e+001  2,39000e+002  6,00100e+001  1,02115e+000  1,43391e+002  7,75923e-002  1,49738e+000  6,74687e+002  2,50000e+001  2,05459e+004  1,29554e+003  2,05867e+004  6,30562e-002  4,84789e-005  3,05689e-006  4,85752e-005
            13  2,18539e+001  2,48000e+002  6,50100e+001  1,01679e+000  1,44026e+002  7,87286e-002  1,49633e+000  6,75319e+002  2,50000e+001  2,03615e+004  1,28192e+003  2,04018e+004  6,29580e-002  4,89183e-005  3,07980e-006  4,90152e-005
            14  2,18346e+001  2,58000e+002  7,00100e+001  9,94700e-001  1,42242e+002  7,96564e-002  1,49737e+000  6,76647e+002  2,50000e+001  2,01627e+004  1,26319e+003  2,02022e+004  6,26499e-002  4,94027e-005  3,09507e-006  4,94995e-005
            15  2,18061e+001  2,70000e+002  7,50100e+001  9,94141e-001  1,43621e+002  8,06817e-002  1,49816e+000  6,78651e+002  2,50000e+001  1,99508e+004  1,24573e+003  1,99897e+004  6,24402e-002  4,99285e-005  3,11754e-006  5,00258e-005
            16  2,17944e+001  2,81000e+002  8,00100e+001  9,93110e-001  1,45215e+002  8,27254e-002  1,49765e+000  6,79795e+002  2,50000e+001  1,97026e+004  1,24630e+003  1,97420e+004  6,32555e-002  5,05525e-005  3,19772e-006  5,06535e-005
            17  2,17807e+001  2,91000e+002  8,50100e+001  9,86844e-001  1,45782e+002  8,60976e-002  1,49672e+000  6,80211e+002  2,50000e+001  1,94914e+004  1,27492e+003  1,95331e+004  6,54093e-002  5,10861e-005  3,34151e-006  5,11953e-005
            18  2,17724e+001  3,03000e+002  9,00100e+001  9,84497e-001  1,46883e+002  9,22796e-002  1,49638e+000  6,80978e+002  2,50000e+001  1,92844e+004  1,35752e+003  1,93321e+004  7,03948e-002  5,15997e-005  3,63235e-006  5,17274e-005
            19  2,17767e+001  3,17000e+002  9,50100e+001  9,78954e-001  1,47564e+002  9,85581e-002  1,49594e+000  6,81962e+002  2,50000e+001  1,90716e+004  1,43954e+003  1,91258e+004  7,54810e-002  5,21370e-005  3,93535e-006  5,22853e-005
            20  2,17794e+001  3,29000e+002  1,00010e+002  9,72522e-001  1,48040e+002  1,01730e-001  1,49457e+000  6,81760e+002  2,50000e+001  1,88735e+004  1,46151e+003  1,89300e+004  7,74371e-002  5,26684e-005  4,07849e-006  5,28261e-005
£CFRP_1N_1
