         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,23653e+001  1,80000e+001  9,99999e-001  8,65000e-001  1,02561e+001  2,20629e-002  3,29000e+000  3,43712e+002  2,50000e+001  1,77226e+004  4,00745e+002  1,77271e+004  2,26121e-002  5,63963e-005  1,27524e-006  5,64107e-005
             1  2,23187e+001  3,00000e+001  1,10000e+001  1,00093e+000  1,18641e+001  2,10931e-002  3,24312e+000  3,44929e+002  2,50000e+001  1,77287e+004  3,37770e+002  1,77319e+004  1,90522e-002  5,63853e-005  1,07426e-006  5,63955e-005
             2  2,22953e+001  3,30000e+001  2,10000e+001  1,00524e+000  1,18882e+001  2,24387e-002  3,21070e+000  3,45174e+002  2,50000e+001  1,77681e+004  3,17887e+002  1,77709e+004  1,78909e-002  5,62627e-005  1,00659e-006  5,62717e-005
             3  2,22511e+001  4,20000e+001  3,10000e+001  1,00580e+000  1,18658e+001  2,48182e-002  3,19764e+000  3,45199e+002  2,50000e+001  1,78087e+004  3,17030e+002  1,78115e+004  1,78020e-002  5,61345e-005  9,99303e-007  5,61434e-005
             4  2,22263e+001  4,50000e+001  4,10000e+001  1,00559e+000  1,18397e+001  2,72928e-002  3,18797e+000  3,45251e+002  2,50000e+001  1,78394e+004  3,17750e+002  1,78422e+004  1,78117e-002  5,60380e-005  9,98135e-007  5,60469e-005
             5  2,21718e+001  5,30000e+001  5,10000e+001  1,00474e+000  1,18235e+001  2,84921e-002  3,17231e+000  3,45358e+002  2,50000e+001  1,78417e+004  2,94359e+002  1,78441e+004  1,64984e-002  5,60333e-005  9,24459e-007  5,60409e-005
             6  2,22283e+001  6,20000e+001  6,10000e+001  1,00510e+000  1,17997e+001  3,30875e-002  3,15980e+000  3,45377e+002  2,50000e+001  1,78753e+004  3,34428e+002  1,78784e+004  1,87090e-002  5,59236e-005  1,04627e-006  5,59334e-005
             7  2,22533e+001  6,50000e+001  7,10000e+001  1,00602e+000  1,17925e+001  3,65374e-002  3,14974e+000  3,45337e+002  2,50000e+001  1,78918e+004  3,53041e+002  1,78953e+004  1,97320e-002  5,58699e-005  1,10243e-006  5,58807e-005
             8  2,22044e+001  7,50000e+001  8,10000e+001  1,00905e+000  1,18110e+001  3,94640e-002  3,14132e+000  3,45314e+002  2,50000e+001  1,79052e+004  3,61921e+002  1,79089e+004  2,02131e-002  5,58268e-005  1,12844e-006  5,58382e-005
             9  2,21728e+001  8,30000e+001  9,10000e+001  1,02539e+000  1,19842e+001  4,25542e-002  3,13154e+000  3,45308e+002  2,50000e+001  1,79183e+004  3,73868e+002  1,79222e+004  2,08651e-002  5,57845e-005  1,16395e-006  5,57967e-005
            10  2,21607e+001  9,00000e+001  1,01000e+002  1,02414e+000  1,19493e+001  4,46905e-002  3,11887e+000  3,45304e+002  2,50000e+001  1,79334e+004  3,68154e+002  1,79372e+004  2,05290e-002  5,57384e-005  1,14425e-006  5,57502e-005
cfrp_dma_1, 16.04.2021 16:54:28
