         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,23226e+001  1,90000e+001  9,99999e-001  8,45000e-001  1,42642e+001  1,53384e-002  1,51000e+000  5,39320e+002  2,50000e+001  1,23161e+004  1,90549e+002  1,23176e+004  1,54715e-002  8,11752e-005  1,25591e-006  8,11849e-005
             1  2,22728e+001  2,80000e+001  1,10000e+001  5,22631e-001  8,80280e+000  1,55727e-002  1,50063e+000  5,39975e+002  2,50000e+001  1,23439e+004  1,62767e+002  1,23450e+004  1,31860e-002  8,09976e-005  1,06804e-006  8,10047e-005
             2  2,22939e+001  3,20000e+001  2,10000e+001  1,00507e+000  1,70234e+001  1,68105e-002  1,50007e+000  5,40227e+002  2,50000e+001  1,22717e+004  1,46326e+002  1,22726e+004  1,19238e-002  8,14765e-005  9,71512e-007  8,14823e-005
             3  2,22639e+001  4,10000e+001  3,10000e+001  1,00226e+000  1,70195e+001  1,85843e-002  1,49863e+000  5,40014e+002  2,50000e+001  1,22366e+004  1,37204e+002  1,22374e+004  1,12126e-002  8,17119e-005  9,16201e-007  8,17170e-005
             4  2,22671e+001  4,40000e+001  4,10000e+001  1,00076e+000  1,70065e+001  2,15115e-002  1,49811e+000  5,40062e+002  2,50000e+001  1,22232e+004  1,42826e+002  1,22240e+004  1,16849e-002  8,18005e-005  9,55828e-007  8,18061e-005
             5  2,23291e+001  5,50000e+001  5,10000e+001  1,00684e+000  1,71329e+001  2,28442e-002  1,49764e+000  5,40105e+002  2,50000e+001  1,22010e+004  1,28388e+002  1,22017e+004  1,05227e-002  8,19512e-005  8,62349e-007  8,19557e-005
             6  2,23217e+001  5,80000e+001  6,10000e+001  1,00461e+000  1,71065e+001  2,72507e-002  1,49777e+000  5,40128e+002  2,50000e+001  1,21859e+004  1,52479e+002  1,21868e+004  1,25128e-002  8,20494e-005  1,02667e-006  8,20558e-005
             7  2,22874e+001  6,80000e+001  7,10000e+001  1,02488e+000  1,74559e+001  3,06062e-002  1,49828e+000  5,39970e+002  2,50000e+001  1,21751e+004  1,63467e+002  1,21762e+004  1,34263e-002  8,21200e-005  1,10257e-006  8,21274e-005
             8  2,22232e+001  7,70000e+001  8,10000e+001  1,00749e+000  1,71557e+001  3,33824e-002  1,49881e+000  5,39835e+002  2,50000e+001  1,21692e+004  1,67291e+002  1,21704e+004  1,37470e-002  8,21588e-005  1,12944e-006  8,21666e-005
             9  2,21682e+001  8,80000e+001  9,10000e+001  1,03021e+000  1,75371e+001  3,61272e-002  1,49981e+000  5,39783e+002  2,50000e+001  1,21632e+004  1,70730e+002  1,21644e+004  1,40366e-002  8,21993e-005  1,15380e-006  8,22073e-005
            10  2,21471e+001  9,20000e+001  1,01000e+002  1,03984e+000  1,77003e+001  3,75503e-002  1,50096e+000  5,39681e+002  2,50000e+001  1,21527e+004  1,57648e+002  1,21537e+004  1,29723e-002  8,22724e-005  1,06726e-006  8,22793e-005
cfrp_dma_2, 16.04.2021 17:03:22
