         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,28926e+001  2,30000e+001  9,99999e-001  1,83500e+000  7,35047e+001  4,28640e-002  1,77000e+000  3,97529e+002  2,50000e+001  7,19056e+003  3,09824e+002  7,19723e+003  4,30876e-002  1,38814e-004  5,98114e-006  1,38942e-004
             1  2,28856e+001  4,10000e+001  6,00000e+000  4,43763e-001  7,96770e+000  2,24673e-002  1,59656e+000  4,19078e+002  2,50000e+001  1,62634e+004  3,49468e+002  1,62672e+004  2,14880e-002  6,14594e-005  1,32064e-006  6,14736e-005
             2  2,28882e+001  5,00000e+001  1,10000e+001  9,50928e-001  1,31810e+001  1,82894e-002  1,53204e+000  4,25688e+002  2,50000e+001  2,12167e+004  3,40721e+002  2,12194e+004  1,60591e-002  4,71205e-005  7,56711e-007  4,71266e-005
             3  2,28876e+001  5,20000e+001  1,60000e+001  9,78076e-001  1,28820e+001  1,97476e-002  1,51460e+000  4,27863e+002  2,50000e+001  2,23636e+004  3,64914e+002  2,23666e+004  1,63173e-002  4,47037e-005  7,29445e-007  4,47096e-005
             4  2,28782e+001  5,90000e+001  2,10000e+001  9,89779e-001  1,27332e+001  1,94147e-002  1,50778e+000  4,29341e+002  2,50000e+001  2,29121e+004  3,37058e+002  2,29146e+004  1,47109e-002  4,36356e-005  6,41918e-007  4,36403e-005
             5  2,28769e+001  6,20000e+001  2,60000e+001  1,00584e+000  1,23903e+001  1,84807e-002  1,48723e+000  4,32077e+002  2,50000e+001  2,39620e+004  2,99263e+002  2,39639e+004  1,24891e-002  4,17262e-005  5,21122e-007  4,17295e-005
             6  2,29082e+001  7,10000e+001  3,10000e+001  7,10438e-001  8,67349e+000  2,20245e-002  1,47834e+000  4,33190e+002  2,50000e+001  2,41807e+004  3,59939e+002  2,41834e+004  1,48854e-002  4,13462e-005  6,15454e-007  4,13507e-005
             7  2,29274e+001  7,40000e+001  3,60000e+001  1,00674e+000  1,24394e+001  2,48257e-002  1,48043e+000  4,33163e+002  2,50000e+001  2,38774e+004  3,94030e+002  2,38807e+004  1,65022e-002  4,18691e-005  6,90932e-007  4,18748e-005
             8  2,29537e+001  8,30000e+001  4,10000e+001  1,00364e+000  1,24692e+001  2,77460e-002  1,48443e+000  4,33021e+002  2,50000e+001  2,37376e+004  4,33094e+002  2,37415e+004  1,82451e-002  4,21133e-005  7,68362e-007  4,21203e-005
             9  2,29519e+001  8,60000e+001  4,60000e+001  1,00464e+000  1,25313e+001  3,00581e-002  1,48955e+000  4,32905e+002  2,50000e+001  2,36347e+004  4,57551e+002  2,36392e+004  1,93593e-002  4,22947e-005  8,18795e-007  4,23027e-005
            10  2,28789e+001  9,70000e+001  5,10000e+001  1,00575e+000  1,25685e+001  3,14968e-002  1,49417e+000  4,32834e+002  2,50000e+001  2,35839e+004  4,61561e+002  2,35884e+004  1,95710e-002  4,23856e-005  8,29529e-007  4,23937e-005
            11  2,28761e+001  1,00000e+002  5,60000e+001  1,00241e+000  1,25264e+001  3,27825e-002  1,49482e+000  4,32835e+002  2,50000e+001  2,35785e+004  4,62746e+002  2,35830e+004  1,96258e-002  4,23952e-005  8,32039e-007  4,24034e-005
            12  2,28404e+001  1,09000e+002  6,10000e+001  1,00064e+000  1,24949e+001  3,41167e-002  1,49432e+000  4,32869e+002  2,50000e+001  2,35902e+004  4,65466e+002  2,35948e+004  1,97314e-002  4,23740e-005  8,36097e-007  4,23823e-005
            13  2,28306e+001  1,18000e+002  6,60000e+001  1,00671e+000  1,25596e+001  3,53194e-002  1,49369e+000  4,32906e+002  2,50000e+001  2,36045e+004  4,65037e+002  2,36091e+004  1,97012e-002  4,23484e-005  8,34315e-007  4,23566e-005
            14  2,28365e+001  1,21000e+002  7,10000e+001  1,00151e+000  1,24825e+001  3,67417e-002  1,49276e+000  4,32943e+002  2,50000e+001  2,36205e+004  4,70015e+002  2,36252e+004  1,98986e-002  4,23193e-005  8,42094e-007  4,23277e-005
            15  2,28848e+001  1,30000e+002  7,60000e+001  1,00462e+000  1,25070e+001  3,82552e-002  1,49282e+000  4,33005e+002  2,50000e+001  2,36399e+004  4,77307e+002  2,36447e+004  2,01907e-002  4,22841e-005  8,53746e-007  4,22927e-005
            16  2,28628e+001  1,40000e+002  8,10000e+001  1,00909e+000  1,25396e+001  3,93949e-002  1,49350e+000  4,33070e+002  2,50000e+001  2,36762e+004  4,75814e+002  2,36810e+004  2,00967e-002  4,22194e-005  8,48472e-007  4,22280e-005
            17  2,28500e+001  1,49000e+002  8,60000e+001  1,01064e+000  1,25371e+001  4,19219e-002  1,49457e+000  4,33133e+002  2,50000e+001  2,37085e+004  5,08284e+002  2,37139e+004  2,14389e-002  4,21596e-005  9,03855e-007  4,21693e-005
            18  2,28247e+001  1,58000e+002  9,10000e+001  1,02040e+000  1,26365e+001  4,43319e-002  1,49554e+000  4,33189e+002  2,50000e+001  2,37398e+004  5,37953e+002  2,37459e+004  2,26604e-002  4,21017e-005  9,54041e-007  4,21126e-005
            19  2,28308e+001  1,69000e+002  9,60000e+001  1,02740e+000  1,27010e+001  4,37284e-002  1,49675e+000  4,33241e+002  2,50000e+001  2,37729e+004  4,93590e+002  2,37780e+004  2,07628e-002  4,20466e-005  8,73005e-007  4,20557e-005
            20  2,28389e+001  1,73000e+002  1,01000e+002  1,00821e+000  1,24374e+001  4,12677e-002  1,49774e+000  4,33289e+002  2,50000e+001  2,38156e+004  4,03513e+002  2,38190e+004  1,69432e-002  4,19773e-005  7,11231e-007  4,19833e-005
CFRP_f1_100_5_1N, 17.04.2021 13:06:08
