         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,31504e+001  2,10000e+001  9,99999e-001  2,50000e-002  9,75352e+001  4,72633e-002  0,00000e+000  2,47976e+002  2,50000e+001  7,30556e+001  3,43743e+000  7,31364e+001  4,70523e-002  1,36580e-002  6,42638e-004  1,36731e-002
             1  2,30391e+001  4,00000e+001  6,00000e+000  1,78997e-001  2,59315e+001  6,58101e-002  2,67187e-001  3,10306e+002  2,50000e+001  1,97090e+003  1,27328e+002  1,97501e+003  6,46041e-002  5,05274e-004  3,26428e-005  5,06327e-004
             2  2,30195e+001  5,80000e+001  1,10000e+001  2,08239e-001  9,03187e+000  1,59575e-001  9,15477e-001  3,33755e+002  2,50000e+001  6,55751e+003  1,04732e+003  6,64062e+003  1,59712e-001  1,48704e-004  2,37498e-005  1,50588e-004
             3  2,29528e+001  7,90000e+001  1,60000e+001  2,39846e+000  5,95419e+001  1,14413e-001  1,41999e+000  3,51707e+002  2,50000e+001  1,16125e+004  1,31013e+003  1,16861e+004  1,12821e-001  8,50320e-005  9,59339e-006  8,55715e-005
             4  2,29245e+001  1,01000e+002  2,10000e+001  1,96795e+000  3,27488e+001  2,01258e-002  1,73184e+000  3,63598e+002  2,50000e+001  1,75790e+004  2,69478e+002  1,75811e+004  1,53295e-002  5,68726e-005  8,71831e-007  5,68793e-005
             5  2,29154e+001  1,04000e+002  2,60000e+001  1,94054e+000  2,47132e+001  2,29723e-002  2,03334e+000  3,77353e+002  2,50000e+001  2,31494e+004  3,96299e+002  2,31528e+004  1,71192e-002  4,31850e-005  7,39292e-007  4,31913e-005
             6  2,29035e+001  1,15000e+002  3,10000e+001  2,06970e+000  2,32012e+001  1,78115e-002  2,30446e+000  3,86250e+002  2,50000e+001  2,64195e+004  2,78889e+002  2,64210e+004  1,05562e-002  3,78466e-005  3,99515e-007  3,78487e-005
             7  2,29015e+001  1,18000e+002  3,60000e+001  2,05124e+000  2,33283e+001  2,01720e-002  2,52291e+000  3,91665e+002  2,50000e+001  2,60224e+004  3,04998e+002  2,60242e+004  1,17206e-002  3,84231e-005  4,50340e-007  3,84257e-005
             8  2,29098e+001  1,28000e+002  4,10000e+001  2,03790e+000  2,33490e+001  2,36544e-002  2,67722e+000  3,97063e+002  2,50000e+001  2,58173e+004  3,62778e+002  2,58199e+004  1,40517e-002  3,87260e-005  5,44168e-007  3,87298e-005
             9  2,29054e+001  1,31000e+002  4,60000e+001  2,02731e+000  2,34958e+001  2,52886e-002  2,71628e+000  3,99198e+002  2,50000e+001  2,55063e+004  3,68868e+002  2,55090e+004  1,44618e-002  3,91978e-005  5,66870e-007  3,92019e-005
            10  2,28935e+001  1,42000e+002  5,10000e+001  2,01881e+000  2,36465e+001  2,67225e-002  2,70399e+000  3,99424e+002  2,50000e+001  2,52217e+004  3,69867e+002  2,52244e+004  1,46646e-002  3,96399e-005  5,81303e-007  3,96441e-005
            11  2,28848e+001  1,45000e+002  5,60000e+001  2,00724e+000  2,36630e+001  2,81522e-002  2,67785e+000  3,99260e+002  2,50000e+001  2,50473e+004  3,72336e+002  2,50500e+004  1,48653e-002  3,99157e-005  5,93359e-007  3,99201e-005
            12  2,28750e+001  1,54000e+002  6,10000e+001  2,01087e+000  2,37524e+001  2,95154e-002  2,64399e+000  3,98885e+002  2,50000e+001  2,49892e+004  3,74832e+002  2,49920e+004  1,49997e-002  4,00082e-005  6,00113e-007  4,00127e-005
