         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,29648e+001  2,20000e+001  9,99999e-001  0,00000e+000  1,00906e+002  6,66473e-002  0,00000e+000  1,82076e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,32172e+001  4,00000e+001  6,00000e+000  2,50000e-002  4,48865e+001  6,09876e-002  1,43750e-001  2,70747e+002  2,50000e+001  1,58656e+002  9,45445e+000  1,58938e+002  5,95908e-002  6,28064e-003  3,74268e-004  6,29178e-003
             2  2,30328e+001  5,80000e+001  1,10000e+001  1,15849e-001  1,81798e+001  1,94380e-001  3,66078e-001  2,97184e+002  2,50000e+001  1,78918e+003  3,48126e+002  1,82273e+003  1,94574e-001  5,38528e-004  1,04783e-004  5,48628e-004
             3  2,30147e+001  6,20000e+001  1,60000e+001  1,41470e+000  9,92843e+001  2,32888e-001  5,50407e-001  3,10498e+002  2,50000e+001  3,98050e+003  9,33247e+002  4,08843e+003  2,34455e-001  2,38135e-004  5,58319e-005  2,44592e-004
             4  2,29995e+001  8,00000e+001  2,10000e+001  9,00112e-001  3,33492e+001  3,82810e-001  9,96864e-001  3,30779e+002  2,50000e+001  7,21991e+003  2,89895e+003  7,78017e+003  4,01522e-001  1,19276e-004  4,78919e-005  1,28532e-004
             5  2,29634e+001  8,50000e+001  2,60000e+001  2,62179e+000  6,83295e+001  1,10088e-001  1,28571e+000  3,50563e+002  2,50000e+001  1,10587e+004  1,16940e+003  1,11204e+004  1,05745e-001  8,94264e-005  9,45639e-006  8,99250e-005
             6  2,29186e+001  1,03000e+002  3,10000e+001  9,99919e-001  1,60813e+001  8,47185e-002  1,55405e+000  3,63963e+002  2,50000e+001  1,81449e+004  1,43857e+003  1,82019e+004  7,92823e-002  5,47675e-005  4,34209e-006  5,49394e-005
             7  2,28836e+001  1,12000e+002  3,60000e+001  1,97403e+000  2,74597e+001  3,55346e-002  1,79074e+000  3,71005e+002  2,50000e+001  2,11220e+004  5,80490e+002  2,11300e+004  2,74827e-002  4,73083e-005  1,30016e-006  4,73261e-005
             8  2,28677e+001  1,16000e+002  4,10000e+001  1,93636e+000  2,46870e+001  1,47595e-002  2,00453e+000  3,78744e+002  2,50000e+001  2,31153e+004  1,11006e+002  2,31156e+004  4,80227e-003  4,32604e-005  2,07748e-007  4,32609e-005
             9  2,28823e+001  1,25000e+002  4,60000e+001  1,98823e+000  2,39783e+001  9,45587e-003  2,18325e+000  3,85066e+002  2,50000e+001  2,44784e+004 -4,79454e+001  2,44784e+004 -1,95868e-003  4,08522e-005 -8,00164e-008  4,08523e-005
            10  2,28829e+001  1,28000e+002  5,10000e+001  2,01014e+000  2,37084e+001  1,92494e-002  2,34340e+000  3,91393e+002  2,50000e+001  2,50436e+004  1,73143e+002  2,50442e+004  6,91367e-003  3,99285e-005  2,76052e-007  3,99294e-005
            11  2,29490e+001  1,39000e+002  5,60000e+001  2,01810e+000  2,36845e+001  2,55552e-002  2,47428e+000  3,95272e+002  2,50000e+001  2,51649e+004  3,06381e+002  2,51668e+004  1,21749e-002  3,97320e-005  4,83734e-007  3,97349e-005
            12  2,30379e+001  1,43000e+002  6,10000e+001  2,01835e+000  2,36858e+001  2,91084e-002  2,50664e+000  3,96086e+002  2,50000e+001  2,51589e+004  3,66849e+002  2,51616e+004  1,45813e-002  3,97389e-005  5,79445e-007  3,97432e-005
            13  2,31576e+001  1,52000e+002  6,60000e+001  2,01998e+000  2,38294e+001  3,03422e-002  2,49383e+000  3,96057e+002  2,50000e+001  2,50152e+004  3,64718e+002  2,50178e+004  1,45799e-002  3,99673e-005  5,82719e-007  3,99715e-005
            14  2,32589e+001  1,63000e+002  7,10000e+001  2,01282e+000  2,38415e+001  3,16577e-002  2,48243e+000  3,96038e+002  2,50000e+001  2,49017e+004  3,65163e+002  2,49044e+004  1,46642e-002  4,01492e-005  5,88755e-007  4,01535e-005
            15  2,32932e+001  1,72000e+002  7,60000e+001  2,01191e+000  2,38516e+001  3,27777e-002  2,47498e+000  3,96048e+002  2,50000e+001  2,48705e+004  3,61807e+002  2,48731e+004  1,45476e-002  4,01998e-005  5,84812e-007  4,02040e-005
            16  2,32144e+001  1,76000e+002  8,10000e+001  1,98608e+000  2,35212e+001  3,40881e-002  2,46992e+000  3,96104e+002  2,50000e+001  2,48875e+004  3,64098e+002  2,48902e+004  1,46297e-002  4,01721e-005  5,87708e-007  4,01764e-005
            17  2,30922e+001  1,85000e+002  8,60000e+001  1,98588e+000  2,34821e+001  3,52881e-002  2,46525e+000  3,96152e+002  2,50000e+001  2,49181e+004  3,63755e+002  2,49207e+004  1,45980e-002  4,01230e-005  5,85716e-007  4,01272e-005
            18  2,30242e+001  1,94000e+002  9,10000e+001  2,03073e+000  2,39728e+001  3,71119e-002  2,46100e+000  3,96195e+002  2,50000e+001  2,49497e+004  3,79566e+002  2,49526e+004  1,52132e-002  4,00713e-005  6,09614e-007  4,00760e-005
            19  2,29508e+001  2,05000e+002  9,60000e+001  1,99150e+000  2,34661e+001  3,84618e-002  2,45401e+000  3,96222e+002  2,50000e+001  2,49865e+004  3,83236e+002  2,49894e+004  1,53377e-002  4,00122e-005  6,13695e-007  4,00169e-005
            20  2,29349e+001  2,08000e+002  1,01000e+002  1,98338e+000  2,33252e+001  3,91900e-002  2,45039e+000  3,96284e+002  2,50000e+001  2,50251e+004  3,70823e+002  2,50279e+004  1,48180e-002  3,99510e-005  5,91995e-007  3,99554e-005
CFRP_f1_100_5_2N, 17.04.2021 14:43:52
