         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,30819e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,01041e+002  1,60515e-001  0,00000e+000  1,85425e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,30977e+001  4,00000e+001  6,00000e+000  5,00000e-002  4,16515e+001  1,32075e-001  1,12500e-001  2,65399e+002  2,50000e+001  3,39734e+002  4,46436e+001  3,42655e+002  1,31408e-001  2,89352e-003  3,80230e-004  2,91839e-003
             2  2,30775e+001  5,80000e+001  1,10000e+001  1,45969e-001  2,18679e+001  2,02678e-001  3,05687e-001  2,83242e+002  2,50000e+001  1,87126e+003  3,80332e+002  1,90952e+003  2,03249e-001  5,13200e-004  1,04308e-004  5,23693e-004
             3  2,30451e+001  6,30000e+001  1,60000e+001  1,33153e+000  1,09127e+002  2,67593e-001  4,82417e-001  2,92541e+002  2,50000e+001  3,37587e+003  9,16064e+002  3,49795e+003  2,71357e-001  2,75904e-004  7,48685e-005  2,85882e-004
             4  2,30051e+001  8,10000e+001  2,10000e+001  9,97004e-001  5,60243e+001  4,11889e-001  1,16199e+000  3,18105e+002  2,50000e+001  4,68809e+003  2,03570e+003  5,11100e+003  4,34227e-001  1,79467e-004  7,79295e-005  1,95657e-004
             5  2,29979e+001  8,40000e+001  2,60000e+001  2,19145e+000  7,70556e+001  4,30953e-001  1,74428e+000  3,41204e+002  2,50000e+001  7,45524e+003  3,41434e+003  8,19990e+003  4,57979e-001  1,10878e-004  5,07798e-005  1,21953e-004
             6  2,31741e+001  1,03000e+002  3,10000e+001  2,21185e+000  6,28864e+001  3,74415e-001  2,29464e+000  3,57892e+002  2,50000e+001  9,47330e+003  3,69716e+003  1,01692e+004  3,90272e-001  9,16070e-005  3,57516e-005  9,83362e-005
             7  2,31685e+001  1,24000e+002  3,60000e+001  1,68786e+000  3,77249e+001  2,50129e-001  2,80396e+000  3,69607e+002  2,50000e+001  1,26016e+004  3,16113e+003  1,29921e+004  2,50851e-001  7,46569e-005  1,87278e-005  7,69700e-005
             8  2,31259e+001  1,29000e+002  4,10000e+001  1,64991e+000  3,03137e+001  1,29033e-001  3,28803e+000  3,82807e+002  2,50000e+001  1,57562e+004  1,92655e+003  1,58735e+004  1,22272e-001  6,25322e-005  7,64596e-006  6,29979e-005
             9  2,31061e+001  1,48000e+002  4,60000e+001  1,74220e+000  2,69974e+001  4,29106e-002  3,74290e+000  3,94736e+002  2,50000e+001  1,88907e+004  6,12926e+002  1,89007e+004  3,24459e-002  5,28803e-005  1,71575e-006  5,29082e-005
            10  2,30926e+001  1,51000e+002  5,10000e+001  1,85474e+000  2,50999e+001  1,15079e-002  4,17614e+000  4,06320e+002  2,50000e+001  2,17249e+004 -2,40241e+001  2,17249e+004 -1,10583e-003  4,60300e-005 -5,09014e-008  4,60300e-005
