         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,32021e+001  6,50000e+001  9,99999e-001  8,80000e-001  2,82161e+000  7,81469e-001  7,38000e+000  5,93008e+002  2,50000e+001  7,36770e+004  8,94243e+004  1,15866e+005  1,21373e+000  5,48805e-006  6,66103e-006  8,63064e-006
             1  2,34230e+001  8,00000e+001  6,00000e+000  9,77979e-001  2,74360e+000  9,03395e-001  7,26594e+000  5,97391e+002  2,50000e+001  6,80062e+004  1,13122e+005  1,31990e+005  1,66340e+000  3,90362e-006  6,49328e-006  7,57634e-006
             2  2,31119e+001  8,90000e+001  1,10000e+001  1,00500e+000  1,22661e+000  3,32434e-001  7,23135e+000  5,99446e+002  2,50000e+001  3,56853e+005  1,91018e+005  4,04762e+005  5,35286e-001  2,17816e-006  1,16594e-006  2,47059e-006
             3  2,30636e+001  9,10000e+001  1,60000e+001  1,00000e+000  9,39138e-001  5,83444e-001  7,22242e+000  5,99865e+002  2,50000e+001  3,12233e+005  4,34776e+005  5,35275e+005  1,39247e+000  1,08975e-006  1,51744e-006  1,86820e-006
             4  2,30932e+001  1,01000e+002  2,10000e+001  1,39126e+000  1,07820e+000  9,22059e-002  7,21178e+000  6,00345e+002  2,50000e+001  9,19977e+005  1,74263e+005  9,36336e+005  1,89421e-001  1,04933e-006  1,98766e-007  1,06799e-006
             5  2,30206e+001  1,04000e+002  2,60000e+001  1,00500e+000  7,08235e-001  8,81071e-002  7,19570e+000  6,01057e+002  2,50000e+001  1,13890e+006  2,29035e+005  1,16170e+006  2,01101e-001  8,43910e-007  1,69712e-007  8,60806e-007
             6  2,28526e+001  1,16000e+002  3,10000e+001  1,00500e+000  6,42634e-001  6,67582e-002  7,18934e+000  6,01500e+002  2,50000e+001  1,48339e+006  2,52449e+005  1,50471e+006  1,70185e-001  6,55159e-007  1,11498e-007  6,64578e-007
             7  2,28331e+001  1,18000e+002  3,60000e+001  1,00500e+000  6,53702e-001  1,02745e-001  7,19004e+000  6,01595e+002  2,50000e+001  1,36941e+006  3,60942e+005  1,41618e+006  2,63575e-001  6,82805e-007  1,79970e-007  7,06125e-007
             8  2,27311e+001  1,27000e+002  4,10000e+001  1,00000e+000  6,54027e-001  9,41995e-002  7,19073e+000  6,01621e+002  2,50000e+001  1,36395e+006  3,18132e+005  1,40056e+006  2,33244e-001  6,95338e-007  1,62183e-007  7,14002e-007
             9  2,27231e+001  1,30000e+002  4,60000e+001  1,00500e+000  6,62099e-001  1,45685e-001  7,19012e+000  6,01635e+002  2,50000e+001  1,25588e+006  4,68091e+005  1,34028e+006  3,72719e-001  6,99131e-007  2,60579e-007  7,46113e-007
            10  2,26911e+001  1,39000e+002  5,10000e+001  1,00000e+000  6,65251e-001  1,61479e-001  7,18939e+000  6,01736e+002  2,50000e+001  1,19998e+006  4,89661e+005  1,29604e+006  4,08058e-001  7,14393e-007  2,91514e-007  7,71582e-007
            11  2,26850e+001  1,42000e+002  5,60000e+001  1,00000e+000  6,71606e-001  1,50358e-001  7,19004e+000  6,01870e+002  2,50000e+001  1,19627e+006  4,38470e+005  1,27409e+006  3,66531e-001  7,36930e-007  2,70108e-007  7,84872e-007
