         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,12397e+001  2,10000e+001  9,99999e-001  3,50000e-002  9,74208e+001  2,00702e-002  2,00000e-002  2,53496e+002  2,50000e+001  7,73945e+003  1,53437e+002  7,74097e+003  1,98254e-002  1,29157e-004  2,56059e-006  1,29183e-004
             1  2,12558e+001  4,00000e+001  6,00000e+000  1,84485e-002  4,39440e+001  2,59156e-002  4,65625e-002  3,27603e+002  2,50000e+001  9,04309e+003  2,21051e+002  9,04579e+003  2,44442e-002  1,10516e-004  2,70146e-006  1,10549e-004
             2  2,12591e+001  4,60000e+001  1,10000e+001  4,46216e-002  1,01502e+002  2,34649e-002  5,47109e-002  3,51682e+002  2,50000e+001  9,46997e+003  1,96576e+002  9,47201e+003  2,07578e-002  1,05552e-004  2,19102e-006  1,05574e-004
             3  2,12611e+001  5,50000e+001  1,60000e+001  4,48594e-002  1,00889e+002  1,70379e-002  5,76339e-002  3,56923e+002  2,50000e+001  9,57895e+003  1,25423e+002  9,57977e+003  1,30936e-002  1,04378e-004  1,36668e-006  1,04387e-004
             4  2,12532e+001  5,80000e+001  2,10000e+001  4,50031e-002  1,00821e+002  9,96240e-003  5,97479e-002  3,61708e+002  2,50000e+001  9,61601e+003  4,59870e+001  9,61612e+003  4,78233e-003  1,03991e-004  4,97319e-007  1,03992e-004
             5  2,12448e+001  6,80000e+001  2,60000e+001  4,46435e-002  1,00512e+002  1,12302e-002  6,32986e-002  3,70727e+002  2,50000e+001  9,56745e+003  4,60837e+001  9,56756e+003  4,81671e-003  1,04519e-004  5,03436e-007  1,04520e-004
             6  2,12441e+001  7,10000e+001  3,10000e+001  4,43791e-002  1,01263e+002  1,46532e-002  6,48611e-002  3,74288e+002  2,50000e+001  9,43882e+003  6,61380e+001  9,43905e+003  7,00702e-003  1,05940e-004  7,42326e-007  1,05943e-004
             7  2,12348e+001  8,00000e+001  3,60000e+001  4,40455e-002  1,02111e+002  1,65961e-002  6,50000e-002  3,73806e+002  2,50000e+001  9,28863e+003  7,16791e+001  9,28891e+003  7,71686e-003  1,07652e-004  8,30736e-007  1,07655e-004
             8  2,12522e+001  8,30000e+001  4,10000e+001  4,38087e-002  1,03818e+002  8,01205e-003  6,50000e-002  3,72982e+002  2,50000e+001  9,08536e+003 -1,91009e+001  9,08538e+003 -2,10238e-003  1,10067e-004 -2,31402e-007  1,10067e-004
             9  2,12826e+001  9,40000e+001  4,60000e+001  4,50862e-002  1,10282e+002 -3,83564e-003  6,50000e-002  3,72235e+002  2,50000e+001  8,79940e+003 -1,33633e+002  8,80041e+003 -1,51866e-002  1,13618e-004 -1,72547e-006  1,13631e-004
            10  2,12863e+001  9,70000e+001  5,10000e+001  3,96304e-002  1,00680e+002 -2,46186e-002  6,50000e-002  3,72555e+002  2,50000e+001  8,46544e+003 -3,15102e+002  8,47131e+003 -3,72222e-002  1,17964e-004 -4,39087e-006  1,18046e-004
