         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,11518e+001  2,10000e+001  9,99999e-001  1,50000e-002  9,96876e+001  1,95819e-002  0,00000e+000  1,80543e+002  2,50000e+001  3,24121e+003  6,26685e+001  3,24181e+003  1,93349e-002  3,08412e-004  5,96312e-006  3,08469e-004
             1  2,11527e+001  3,90000e+001  6,00000e+000  1,40370e-002  4,39153e+001  3,11588e-002  3,12500e-002  2,84096e+002  2,50000e+001  6,88384e+003  2,04387e+002  6,88688e+003  2,96908e-002  1,45140e-004  4,30932e-006  1,45204e-004
             2  2,11257e+001  6,00000e+001  1,10000e+001  4,29320e-002  1,05559e+002  2,93002e-002  4,55469e-002  3,28970e+002  2,50000e+001  8,75985e+003  2,32987e+002  8,76294e+003  2,65971e-002  1,14077e-004  3,03411e-006  1,14117e-004
             3  2,11168e+001  7,00000e+001  1,60000e+001  4,39029e-002  1,02879e+002  1,41101e-002  5,11189e-002  3,43307e+002  2,50000e+001  9,19361e+003  9,34505e+001  9,19408e+003  1,01647e-002  1,08760e-004  1,10552e-006  1,08766e-004
             4  2,11187e+001  7,30000e+001  2,10000e+001  4,44341e-002  1,01773e+002  6,60083e-003  5,48419e-002  3,51683e+002  2,50000e+001  9,40566e+003  1,33563e+001  9,40567e+003  1,42003e-003  1,06319e-004  1,50976e-007  1,06319e-004
             5  2,11346e+001  8,20000e+001  2,60000e+001  4,51846e-002  9,99857e+001  8,69602e-003  6,04861e-002  3,67982e+002  2,50000e+001  9,73451e+003  2,22146e+001  9,73454e+003  2,28204e-003  1,02727e-004  2,34427e-007  1,02727e-004
             6  2,11318e+001  8,50000e+001  3,10000e+001  4,49037e-002  9,95138e+001  6,24611e-003  6,41667e-002  3,78448e+002  2,50000e+001  9,71859e+003 -1,36247e+001  9,71860e+003 -1,40193e-003  1,02895e-004 -1,44252e-007  1,02895e-004
             7  2,11983e+001  9,70000e+001  3,60000e+001  4,44462e-002  1,00728e+002  5,58039e-003  6,50000e-002  3,79487e+002  2,50000e+001  9,50204e+003 -3,13684e+001  9,50209e+003 -3,30123e-003  1,05239e-004 -3,47419e-007  1,05240e-004
             8  2,12031e+001  1,00000e+002  4,10000e+001  4,40939e-002  1,02562e+002 -2,17355e-003  6,50000e-002  3,77917e+002  2,50000e+001  9,25581e+003 -1,13759e+002  9,25651e+003 -1,22906e-002  1,08024e-004 -1,32768e-006  1,08032e-004
             9  2,11973e+001  1,08000e+002  4,60000e+001  4,43853e-002  1,06914e+002 -1,02876e-002  6,50000e-002  3,76303e+002  2,50000e+001  8,93443e+003 -1,93359e+002  8,93652e+003 -2,16420e-002  1,11874e-004 -2,42118e-006  1,11900e-004
            10  2,11920e+001  1,18000e+002  5,10000e+001  4,01489e-002  1,00561e+002 -1,83862e-002  6,50000e-002  3,75579e+002  2,50000e+001  8,58820e+003 -2,66075e+002  8,59232e+003 -3,09815e-002  1,16327e-004 -3,60399e-006  1,16383e-004
            11  2,11835e+001  1,23000e+002  5,60000e+001  3,90432e-002  1,02134e+002 -2,94866e-002  6,50000e-002  3,75300e+002  2,50000e+001  8,21718e+003 -3,56080e+002  8,22490e+003 -4,33336e-002  1,21468e-004 -5,26365e-006  1,21582e-004
            12  2,11777e+001  1,36000e+002  6,10000e+001  3,82371e-002  1,04658e+002 -3,83062e-002  6,50000e-002  3,75370e+002  2,50000e+001  7,84742e+003 -4,19136e+002  7,85861e+003 -5,34106e-002  1,27068e-004 -6,78678e-006  1,27249e-004
