         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,21353e+001  5,50000e+001  9,99998e-003  0,00000e+000  1,42150e+002 -2,26555e+000  3,50000e-001  1,58734e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,20755e+001  1,53000e+002  5,01000e+000  2,80000e-001  3,74889e+001  5,59956e-002  9,01563e-001  4,50559e+002  2,50000e+001  2,15973e+004  1,18743e+003  2,16299e+004  5,49802e-002  4,61625e-005  2,53803e-006  4,62322e-005
             2  2,20659e+001  1,74000e+002  1,00100e+001  2,70245e-001  3,57283e+001  1,00451e-001  1,16740e+000  5,52505e+002  2,50000e+001  2,17992e+004  2,14940e+003  2,19050e+004  9,85998e-002  4,54315e-005  4,47953e-006  4,56518e-005
             3  2,20731e+001  1,81000e+002  1,50100e+001  1,01010e+000  1,34638e+002  1,00527e-001  1,26164e+000  5,89613e+002  2,50000e+001  2,16225e+004  2,10658e+003  2,17249e+004  9,74252e-002  4,58132e-005  4,46336e-006  4,60301e-005
             4  2,20538e+001  1,90000e+002  2,00100e+001  6,39698e-001  8,59389e+001  6,51225e-002  1,32485e+000  6,14023e+002  2,50000e+001  2,15136e+004  1,30031e+003  2,15529e+004  6,04411e-002  4,63130e-005  2,79921e-006  4,63976e-005
             5  2,20442e+001  1,93000e+002  2,50100e+001  1,00582e+000  1,35774e+002  6,48835e-002  1,42809e+000  6,55430e+002  2,50000e+001  2,14102e+004  1,26231e+003  2,14474e+004  5,89581e-002  4,65449e-005  2,74420e-006  4,66257e-005
             6  2,20516e+001  2,04000e+002  3,00100e+001  1,00265e+000  1,35772e+002  6,35952e-002  1,50519e+000  6,76335e+002  2,50000e+001  2,13432e+004  1,20418e+003  2,13771e+004  5,64199e-002  4,67048e-005  2,63508e-006  4,67790e-005
             7  2,20525e+001  2,07000e+002  3,50100e+001  1,00524e+000  1,36740e+002  5,79065e-002  1,51323e+000  6,78589e+002  2,50000e+001  2,12512e+004  1,05102e+003  2,12772e+004  4,94571e-002  4,69414e-005  2,32159e-006  4,69988e-005
             8  2,20375e+001  2,16000e+002  4,00100e+001  1,00810e+000  1,37719e+002  5,85333e-002  1,50334e+000  6,78072e+002  2,50000e+001  2,11568e+004  1,03344e+003  2,11820e+004  4,88468e-002  4,71537e-005  2,30331e-006  4,72099e-005
             9  2,20322e+001  2,20000e+002  4,50100e+001  1,00395e+000  1,37900e+002  6,20177e-002  1,50129e+000  6,77315e+002  2,50000e+001  2,10351e+004  1,07510e+003  2,10626e+004  5,11098e-002  4,74157e-005  2,42341e-006  4,74776e-005
            10  2,20248e+001  2,31000e+002  5,00100e+001  9,99037e-001  1,38110e+002  6,35740e-002  1,50222e+000  6,76449e+002  2,50000e+001  2,08950e+004  1,07471e+003  2,09226e+004  5,14340e-002  4,77321e-005  2,45505e-006  4,77951e-005
