         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,13412e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,01221e+002 -2,61701e-001  0,00000e+000  1,89133e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,13194e+001  4,00000e+001  6,00000e+000  2,00000e-002  4,33902e+001  2,46519e-002  4,84375e-002  2,91255e+002  2,50000e+001  3,67347e+003  8,51510e+001  3,67446e+003  2,31800e-002  2,72076e-004  6,30672e-006  2,72149e-004
             2  2,13066e+001  5,80000e+001  1,10000e+001  5,49628e-002  4,69687e+001  1,54431e-002  1,09133e-001  3,54253e+002  2,50000e+001  9,33048e+003  1,18837e+002  9,33123e+003  1,27364e-002  1,07158e-004  1,36481e-006  1,07167e-004
             3  2,13144e+001  6,10000e+001  1,60000e+001  1,96415e-001  9,96316e+001  1,34212e-002  1,70031e-001  4,18057e+002  2,50000e+001  1,57242e+004  1,49102e+002  1,57249e+004  9,48234e-003  6,35906e-005  6,02988e-007  6,35934e-005
             4  2,13492e+001  8,10000e+001  2,10000e+001  2,15000e-001  9,81851e+001  5,69906e-003  2,23125e-001  4,69780e+002  2,50000e+001  1,74667e+004  9,05650e+000  1,74667e+004  5,18502e-004  5,72519e-005  2,96852e-008  5,72519e-005
             5  2,13498e+001  8,40000e+001  2,60000e+001  2,21487e-001  1,00035e+002  1,01039e-002  2,73125e-001  4,96801e+002  2,50000e+001  1,76591e+004  6,52178e+001  1,76592e+004  3,69316e-003  5,66274e-005  2,09134e-007  5,66278e-005
             6  2,13013e+001  1,02000e+002  3,10000e+001  2,24156e-001  9,94741e+001  1,22441e-002  2,98297e-001  5,16027e+002  2,50000e+001  1,79706e+004  8,26850e+001  1,79708e+004  4,60113e-003  5,56454e-005  2,56032e-007  5,56459e-005
             7  2,12961e+001  1,05000e+002  3,60000e+001  2,28968e-001  1,00728e+002  1,26879e-002  3,08152e-001  5,21860e+002  2,50000e+001  1,81252e+004  6,90739e+001  1,81253e+004  3,81094e-003  5,51711e-005  2,10254e-007  5,51715e-005
             8  2,12937e+001  1,14000e+002  4,10000e+001  2,28454e-001  1,00083e+002  1,28808e-002  3,12805e-001  5,25744e+002  2,50000e+001  1,81979e+004  5,04030e+001  1,81980e+004  2,76971e-003  5,49509e-005  1,52198e-007  5,49511e-005
             9  2,12942e+001  1,17000e+002  4,60000e+001  2,38525e-001  1,03994e+002  1,31156e-002  3,23791e-001  5,32124e+002  2,50000e+001  1,82820e+004  3,23675e+001  1,82821e+004  1,77046e-003  5,46984e-005  9,68411e-008  5,46984e-005
            10  2,13111e+001  1,27000e+002  5,10000e+001  2,34670e-001  1,02201e+002  1,16782e-002  3,33826e-001  5,38390e+002  2,50000e+001  1,82982e+004 -1,65140e+001  1,82982e+004 -9,02496e-004  5,46502e-005 -4,93215e-008  5,46502e-005
            11  2,13161e+001  1,30000e+002  5,60000e+001  2,29406e-001  1,00123e+002  1,03724e-002  3,37294e-001  5,41949e+002  2,50000e+001  1,82543e+004 -6,28601e+001  1,82544e+004 -3,44357e-003  5,47809e-005 -1,88642e-007  5,47812e-005
            12  2,13057e+001  1,41000e+002  6,10000e+001  2,29042e-001  1,00547e+002  8,74700e-003  3,37713e-001  5,43902e+002  2,50000e+001  1,81431e+004 -1,14382e+002  1,81435e+004 -6,30444e-003  5,51152e-005 -3,47471e-007  5,51163e-005
            13  2,13042e+001  1,50000e+002  6,60000e+001  2,25385e-001  9,92323e+001  9,05473e-003  3,37832e-001  5,45482e+002  2,50000e+001  1,80845e+004 -1,30750e+002  1,80850e+004 -7,22992e-003  5,52930e-005 -3,99764e-007  5,52945e-005
