         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,29098e+001  2,30000e+001  9,99999e-001  1,80500e+000  7,87352e+001  4,57403e-002  1,86000e+000  3,93480e+002  2,50000e+001  6,59663e+003  3,03183e+002  6,60359e+003  4,59603e-002  1,51273e-004  6,95256e-006  1,51433e-004
             1  2,28817e+001  4,20000e+001  6,00000e+000  4,38023e-001  8,09656e+000  2,35346e-002  1,66938e+000  4,16867e+002  2,50000e+001  1,57864e+004  3,56234e+002  1,57904e+004  2,25658e-002  6,33133e-005  1,42872e-006  6,33294e-005
             2  2,29076e+001  5,10000e+001  1,10000e+001  9,47771e-001  1,32752e+001  1,84618e-002  1,58267e+000  4,24062e+002  2,50000e+001  2,09893e+004  3,40691e+002  2,09921e+004  1,62316e-002  4,76307e-005  7,73124e-007  4,76370e-005
             3  2,29158e+001  5,40000e+001  1,60000e+001  9,71330e-001  1,28888e+001  1,99225e-002  1,55343e+000  4,26426e+002  2,50000e+001  2,21922e+004  3,66038e+002  2,21953e+004  1,64940e-002  4,50485e-005  7,43029e-007  4,50547e-005
             4  2,29402e+001  6,10000e+001  2,10000e+001  9,82574e-001  1,27210e+001  1,94218e-002  1,53398e+000  4,28083e+002  2,50000e+001  2,27622e+004  3,34947e+002  2,27647e+004  1,47150e-002  4,39230e-005  6,46328e-007  4,39277e-005
             5  2,29419e+001  6,40000e+001  2,60000e+001  1,00571e+000  1,24280e+001  1,82426e-002  1,50030e+000  4,31139e+002  2,50000e+001  2,38834e+004  2,92362e+002  2,38852e+004  1,22412e-002  4,18638e-005  5,12464e-007  4,18670e-005
             6  2,29093e+001  7,20000e+001  3,10000e+001  7,06914e-001  8,64267e+000  2,26422e-002  1,48083e+000  4,32494e+002  2,50000e+001  2,41451e+004  3,74836e+002  2,41480e+004  1,55243e-002  4,14063e-005  6,42804e-007  4,14113e-005
             7  2,28837e+001  7,50000e+001  3,60000e+001  1,00928e+000  1,24848e+001  2,59586e-002  1,47894e+000  4,32624e+002  2,50000e+001  2,38493e+004  4,21518e+002  2,38531e+004  1,76742e-002  4,19168e-005  7,40846e-007  4,19233e-005
             8  2,29011e+001  8,40000e+001  4,10000e+001  1,00563e+000  1,25134e+001  2,84680e-002  1,48164e+000  4,32581e+002  2,50000e+001  2,36989e+004  4,50075e+002  2,37031e+004  1,89914e-002  4,21809e-005  8,01075e-007  4,21885e-005
             9  2,29189e+001  8,80000e+001  4,60000e+001  1,00713e+000  1,25714e+001  3,00684e-002  1,48461e+000  4,32516e+002  2,50000e+001  2,36171e+004  4,57451e+002  2,36215e+004  1,93695e-002  4,23263e-005  8,19838e-007  4,23343e-005
            10  2,29058e+001  9,90000e+001  5,10000e+001  9,98999e-001  1,24886e+001  3,14140e-002  1,48788e+000  4,32480e+002  2,50000e+001  2,35750e+004  4,59359e+002  2,35795e+004  1,94850e-002  4,24017e-005  8,26197e-007  4,24098e-005
            11  2,29043e+001  1,00000e+002  5,60000e+001  1,00224e+000  1,25245e+001  3,27859e-002  1,48902e+000  4,32552e+002  2,50000e+001  2,35781e+004  4,62820e+002  2,35826e+004  1,96293e-002  4,23960e-005  8,32201e-007  4,24042e-005
            12  2,29589e+001  1,14000e+002  6,10000e+001  1,00624e+000  1,25615e+001  3,42732e-002  1,48939e+000  4,32644e+002  2,50000e+001  2,35964e+004  4,69418e+002  2,36011e+004  1,98936e-002  4,23625e-005  8,42742e-007  4,23709e-005
            13  2,29043e+001  1,23000e+002  6,60000e+001  1,00560e+000  1,25394e+001  3,60095e-002  1,49103e+000  4,32730e+002  2,50000e+001  2,36164e+004  4,82148e+002  2,36214e+004  2,04158e-002  4,23258e-005  8,64114e-007  4,23346e-005
