         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,31275e+001  2,00000e+001  9,99999e-001  0,00000e+000  1,00920e+002  1,50671e+000  0,00000e+000  1,84654e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,30551e+001  3,90000e+001  6,00000e+000  7,00000e-002  3,96106e+001  1,23351e-001  1,23437e-001  2,63298e+002  2,50000e+001  5,00804e+002  6,13827e+001  5,04552e+002  1,22568e-001  1,96723e-003  2,41120e-004  1,98196e-003
             2  2,30075e+001  5,70000e+001  1,10000e+001  1,55768e-001  1,95248e+001  1,99344e-001  3,23445e-001  2,80820e+002  2,50000e+001  2,23917e+003  4,47565e+002  2,28346e+003  1,99880e-001  4,29438e-004  8,58362e-005  4,37932e-004
             3  2,30088e+001  6,20000e+001  1,60000e+001  1,39877e+000  1,04337e+002  2,64522e-001  5,00079e-001  2,90621e+002  2,50000e+001  3,71393e+003  9,96027e+002  3,84517e+003  2,68187e-001  2,51190e-004  6,73659e-005  2,60066e-004
             4  2,29914e+001  8,00000e+001  2,10000e+001  1,03409e+000  5,53393e+001  4,07670e-001  1,15774e+000  3,15292e+002  2,50000e+001  4,93313e+003  2,11810e+003  5,36863e+003  4,29362e-001  1,71158e-004  7,34886e-005  1,86267e-004
             5  2,29949e+001  8,30000e+001  2,60000e+001  2,19528e+000  7,42227e+001  4,25465e-001  1,72974e+000  3,37885e+002  2,50000e+001  7,77579e+003  3,51094e+003  8,53168e+003  4,51522e-001  1,06826e-004  4,82341e-005  1,17210e-004
             6  2,30629e+001  1,02000e+002  3,10000e+001  2,21940e+000  6,22779e+001  3,71386e-001  2,27683e+000  3,54250e+002  2,50000e+001  9,61166e+003  3,71796e+003  1,03057e+004  3,86818e-001  9,04991e-005  3,50066e-005  9,70338e-005
             7  2,32124e+001  1,25000e+002  3,60000e+001  1,68228e+000  3,74655e+001  2,48602e-001  2,79720e+000  3,66004e+002  2,50000e+001  1,26528e+004  3,15328e+003  1,30398e+004  2,49217e-001  7,44123e-005  1,85448e-005  7,66884e-005
             8  2,32022e+001  1,28000e+002  4,10000e+001  1,66180e+000  3,05027e+001  1,28188e-001  3,29710e+000  3,79270e+002  2,50000e+001  1,57734e+004  1,91486e+003  1,58892e+004  1,21398e-001  6,24772e-005  7,58463e-006  6,29359e-005
             9  2,31463e+001  1,47000e+002  4,60000e+001  1,72988e+000  2,68323e+001  4,26550e-002  3,76260e+000  3,91148e+002  2,50000e+001  1,88722e+004  6,07345e+002  1,88819e+004  3,21821e-002  5,29333e-005  1,70350e-006  5,29607e-005
            10  2,31450e+001  1,50000e+002  5,10000e+001  1,85555e+000  2,51605e+001  1,15381e-002  4,20311e+000  4,02511e+002  2,50000e+001  2,16807e+004 -2,32988e+001  2,16807e+004 -1,07463e-003  4,61239e-005 -4,95661e-008  4,61239e-005
