         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,23004e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,01246e+002 -2,03850e-002  0,00000e+000  1,91100e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,22998e+001  4,00000e+001  6,00000e+000  1,50000e-002  4,55047e+001  1,16774e-001  1,31250e-001  2,79264e+002  2,50000e+001  4,24310e+002  4,91453e+001  4,27147e+002  1,15824e-001  2,32557e-003  2,69357e-004  2,34111e-003
             2  2,20967e+001  5,80000e+001  1,10000e+001  1,38453e-001  2,86890e+001  8,80535e-002  4,35117e-001  3,24819e+002  2,50000e+001  6,24329e+003  5,35280e+002  6,26620e+003  8,57369e-002  1,59003e-004  1,36324e-005  1,59586e-004
             3  2,19429e+001  7,90000e+001  1,60000e+001  9,08326e-001  7,14302e+001  5,79417e-002  6,64639e-001  3,49552e+002  2,50000e+001  1,65456e+004  8,99467e+002  1,65700e+004  5,43631e-002  6,02611e-005  3,27598e-006  6,03501e-005
             4  2,18786e+001  1,00000e+002  2,10000e+001  8,39520e-001  4,79966e+001  4,94915e-002  8,53836e-001  3,67143e+002  2,50000e+001  2,28174e+004  1,01987e+003  2,28402e+004  4,46972e-002  4,37387e-005  1,95500e-006  4,37824e-005
             5  2,18681e+001  1,04000e+002  2,60000e+001  8,71394e-001  4,16354e+001  2,45642e-002  1,01494e+000  3,87898e+002  2,50000e+001  2,73655e+004  5,01531e+002  2,73700e+004  1,83272e-002  3,65302e-005  6,69494e-007  3,65363e-005
             6  2,19129e+001  1,12000e+002  3,10000e+001  9,90870e-001  3,53132e+001  1,90521e-002  1,16806e+000  4,02608e+002  2,50000e+001  3,68085e+004  4,25251e+002  3,68110e+004  1,15531e-002  2,71640e-005  3,13827e-007  2,71658e-005
             7  2,19932e+001  1,15000e+002  3,60000e+001  1,01660e+000  3,39513e+001  2,38601e-002  1,28788e+000  4,10198e+002  2,50000e+001  3,93054e+004  5,96977e+002  3,93099e+004  1,51882e-002  2,54359e-005  3,86325e-007  2,54389e-005
             8  2,22217e+001  1,24000e+002  4,10000e+001  1,02160e+000  3,40036e+001  2,61044e-002  1,36835e+000  4,14894e+002  2,50000e+001  3,94321e+004  6,39365e+002  3,94373e+004  1,62143e-002  2,53534e-005  4,11087e-007  2,53567e-005
             9  2,22891e+001  1,27000e+002  4,60000e+001  1,02234e+000  3,42137e+001  2,70652e-002  1,42817e+000  4,17580e+002  2,50000e+001  3,92074e+004  6,24851e+002  3,92123e+004  1,59371e-002  2,54989e-005  4,06379e-007  2,55022e-005
            10  2,22343e+001  1,36000e+002  5,10000e+001  1,01022e+000  3,42387e+001  2,77518e-002  1,47763e+000  4,19265e+002  2,50000e+001  3,86993e+004  5,95216e+002  3,87039e+004  1,53805e-002  2,58341e-005  3,97343e-007  2,58372e-005
            11  2,21791e+001  1,39000e+002  5,60000e+001  9,99038e-001  3,42694e+001  2,85894e-002  1,49279e+000  4,19666e+002  2,50000e+001  3,82210e+004  5,72452e+002  3,82253e+004  1,49774e-002  2,61578e-005  3,91777e-007  2,61607e-005
            12  2,20634e+001  1,48000e+002  6,10000e+001  1,00168e+000  3,45115e+001  2,97790e-002  1,49167e+000  4,19448e+002  2,50000e+001  3,80406e+004  5,68066e+002  3,80449e+004  1,49331e-002  2,62818e-005  3,92471e-007  2,62848e-005
            13  2,19873e+001  1,57000e+002  6,60000e+001  1,00477e+000  3,46501e+001  3,14429e-002  1,49077e+000  4,19423e+002  2,50000e+001  3,79934e+004  5,83975e+002  3,79979e+004  1,53704e-002  2,63142e-005  4,04460e-007  2,63173e-005
            14  2,20062e+001  1,66000e+002  7,10000e+001  1,03272e+000  3,56070e+001  3,32907e-002  1,49150e+000  4,19556e+002  2,50000e+001  3,79882e+004  6,07608e+002  3,79931e+004  1,59946e-002  2,63172e-005  4,20934e-007  2,63206e-005
            15  2,20245e+001  1,70000e+002  7,60000e+001  1,07056e+000  3,68781e+001  3,51975e-002  1,49268e+000  4,19738e+002  2,50000e+001  3,80095e+004  6,33963e+002  3,80148e+004  1,66791e-002  2,63019e-005  4,38690e-007  2,63055e-005
            16  2,19140e+001  1,82000e+002  8,10000e+001  1,01626e+000  3,49723e+001  3,69295e-002  1,49184e+000  4,19891e+002  2,50000e+001  3,80343e+004  6,53677e+002  3,80399e+004  1,71865e-002  2,62843e-005  4,51736e-007  2,62882e-005
            17  2,18766e+001  1,90000e+002  8,60000e+001  9,99752e-001  3,43711e+001  3,81996e-002  1,49014e+000  4,20106e+002  2,50000e+001  3,80564e+004  6,55561e+002  3,80621e+004  1,72260e-002  2,62690e-005  4,52510e-007  2,62729e-005
            18  2,18729e+001  2,00000e+002  9,10000e+001  9,74171e-001  3,34556e+001  3,90877e-002  1,48830e+000  4,20345e+002  2,50000e+001  3,80824e+004  6,42781e+002  3,80878e+004  1,68787e-002  2,62514e-005  4,43090e-007  2,62551e-005
            19  2,18729e+001  2,03000e+002  9,60000e+001  1,00853e+000  3,46016e+001  4,04109e-002  1,48361e+000  4,20530e+002  2,50000e+001  3,81034e+004  6,46714e+002  3,81089e+004  1,69726e-002  2,62368e-005  4,45307e-007  2,62406e-005
            20  2,18660e+001  2,20000e+002  1,01000e+002  1,02104e+000  3,50176e+001  4,15595e-002  1,47564e+000  4,20662e+002  2,50000e+001  3,81003e+004  6,43507e+002  3,81057e+004  1,68898e-002  2,62390e-005  4,43172e-007  2,62428e-005
cfrp_f1_1-100-5Hz_1N, 18.04.2021 18:26:40
