         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,20664e+001  2,20000e+001  9,99999e-001  6,00000e-002  9,36635e+001  1,57712e-001  1,50000e-002  1,81118e+002  2,50000e+001  9,97165e+002  1,58377e+002  1,00966e+003  1,58827e-001  9,78168e-004  1,55360e-004  9,90429e-004
             1  2,19869e+001  4,00000e+001  6,00000e+000  1,76148e-001  2,65898e+001  7,81661e-002  2,82188e-001  2,44502e+002  2,50000e+001  1,04416e+004  8,04966e+002  1,04726e+004  7,70925e-002  9,52052e-005  7,33960e-006  9,54877e-005
             2  2,21132e+001  5,80000e+001  1,10000e+001  2,41188e-001  1,70849e+001  3,19683e-002  5,24328e-001  2,75113e+002  2,50000e+001  2,23908e+004  6,59879e+002  2,24006e+004  2,94710e-002  4,46224e-005  1,31506e-006  4,46418e-005
             3  2,22045e+001  8,00000e+001  1,60000e+001  1,02071e+000  5,88375e+001  2,41171e-002  8,12670e-001  2,97837e+002  2,50000e+001  2,75648e+004  5,60918e+002  2,75705e+004  2,03490e-002  3,62631e-005  7,37920e-007  3,62706e-005
             4  2,22454e+001  8,30000e+001  2,10000e+001  9,57545e-001  4,95006e+001  2,28733e-002  9,71572e-001  3,11710e+002  2,50000e+001  3,07664e+004  5,49709e+002  3,07713e+004  1,78672e-002  3,24926e-005  5,80550e-007  3,24978e-005
             5  2,21765e+001  9,50000e+001  2,60000e+001  9,99973e-001  4,46918e+001  1,61937e-002  1,12263e+000  3,26818e+002  2,50000e+001  3,56416e+004  3,52507e+002  3,56433e+004  9,89035e-003  2,80544e-005  2,77468e-007  2,80558e-005
             6  2,21441e+001  9,80000e+001  3,10000e+001  1,02142e+000  4,34994e+001  1,91087e-002  1,25662e+000  3,37376e+002  2,50000e+001  3,74191e+004  4,33982e+002  3,74216e+004  1,15979e-002  2,67207e-005  3,09904e-007  2,67225e-005
             7  2,21712e+001  1,06000e+002  3,60000e+001  7,19437e-001  3,13233e+001  2,09627e-002  1,35481e+000  3,43592e+002  2,50000e+001  3,65860e+004  4,47187e+002  3,65887e+004  1,22229e-002  2,73288e-005  3,34037e-007  2,73308e-005
             8  2,22213e+001  1,10000e+002  4,10000e+001  1,00593e+000  4,41947e+001  2,25245e-002  1,42683e+000  3,47624e+002  2,50000e+001  3,62459e+004  4,55038e+002  3,62488e+004  1,25542e-002  2,75849e-005  3,46306e-007  2,75871e-005
             9  2,22532e+001  1,19000e+002  4,60000e+001  1,04424e+000  4,62104e+001  2,39831e-002  1,48254e+000  3,50335e+002  2,50000e+001  3,59749e+004  4,59808e+002  3,59778e+004  1,27814e-002  2,77926e-005  3,55228e-007  2,77949e-005
            10  2,23213e+001  1,28000e+002  5,10000e+001  9,92464e-001  4,41377e+001  2,53750e-002  1,49717e+000  3,50741e+002  2,50000e+001  3,57865e+004  4,63134e+002  3,57895e+004  1,29416e-002  2,79388e-005  3,61572e-007  2,79411e-005
