         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,20369e+001  2,20000e+001  9,99999e-001  2,40000e-001  6,98198e+001  3,03772e-002  2,50000e-002  2,36101e+002  2,50000e+001  5,42302e+003  1,63708e+002  5,42549e+003  3,01876e-002  1,84231e-004  5,56149e-006  1,84315e-004
             1  2,22545e+001  4,00000e+001  6,00000e+000  2,30551e-001  1,87960e+001  2,94306e-002  3,76562e-001  2,73302e+002  2,50000e+001  1,94383e+004  5,46795e+002  1,94459e+004  2,81299e-002  5,14043e-005  1,44599e-006  5,14246e-005
             2  2,21723e+001  5,80000e+001  1,10000e+001  2,68464e-001  1,52562e+001  2,27783e-002  5,84281e-001  2,95321e+002  2,50000e+001  2,79659e+004  5,66177e+002  2,79717e+004  2,02452e-002  3,57431e-005  7,23628e-007  3,57505e-005
             3  2,19856e+001  8,00000e+001  1,60000e+001  1,01209e+000  5,15239e+001  2,03837e-002  8,45031e-001  3,13715e+002  2,50000e+001  3,12502e+004  5,18780e+002  3,12545e+004  1,66009e-002  3,19910e-005  5,31077e-007  3,19954e-005
             4  2,19684e+001  8,30000e+001  2,10000e+001  9,79051e-001  4,73023e+001  1,97312e-002  9,93523e-001  3,24516e+002  2,50000e+001  3,29436e+004  4,84392e+002  3,29472e+004  1,47036e-002  3,03483e-005  4,46231e-007  3,03516e-005
             5  2,19864e+001  9,20000e+001  2,60000e+001  9,94812e-001  4,45481e+001  1,96480e-002  1,14009e+000  3,35298e+002  2,50000e+001  3,55697e+004  4,76066e+002  3,55729e+004  1,33840e-002  2,81088e-005  3,76209e-007  2,81113e-005
             6  2,19834e+001  9,40000e+001  3,10000e+001  1,00787e+000  4,39500e+001  2,01439e-002  1,26282e+000  3,43199e+002  2,50000e+001  3,65337e+004  4,61857e+002  3,65366e+004  1,26420e-002  2,73676e-005  3,45981e-007  2,73698e-005
             7  2,19503e+001  1,03000e+002  3,60000e+001  7,10676e-001  3,13251e+001  2,13658e-002  1,34956e+000  3,48006e+002  2,50000e+001  3,61330e+004  4,56322e+002  3,61359e+004  1,26290e-002  2,76711e-005  3,49457e-007  2,76733e-005
             8  2,19979e+001  1,06000e+002  4,10000e+001  1,00896e+000  4,46267e+001  2,27184e-002  1,41750e+000  3,50965e+002  2,50000e+001  3,60004e+004  4,58981e+002  3,60033e+004  1,27493e-002  2,77730e-005  3,54087e-007  2,77752e-005
             9  2,19964e+001  1,16000e+002  4,60000e+001  1,03512e+000  4,59145e+001  2,40714e-002  1,47404e+000  3,52924e+002  2,50000e+001  3,58895e+004  4,61911e+002  3,58925e+004  1,28704e-002  2,78587e-005  3,58551e-007  2,78610e-005
            10  2,20801e+001  1,28000e+002  5,10000e+001  9,94166e-001  4,41725e+001  2,53252e-002  1,49272e+000  3,52890e+002  2,50000e+001  3,58201e+004  4,61769e+002  3,58230e+004  1,28913e-002  2,79127e-005  3,59832e-007  2,79150e-005
            11  2,21251e+001  1,31000e+002  5,60000e+001  9,92837e-001  4,41478e+001  2,67334e-002  1,49363e+000  3,51916e+002  2,50000e+001  3,57828e+004  4,67639e+002  3,57859e+004  1,30688e-002  2,79416e-005  3,65164e-007  2,79440e-005
            12  2,23021e+001  1,42000e+002  6,10000e+001  1,00708e+000  4,48056e+001  2,81636e-002  1,49431e+000  3,50983e+002  2,50000e+001  3,57531e+004  4,74397e+002  3,57563e+004  1,32687e-002  2,79647e-005  3,71054e-007  2,79671e-005
            13  2,21702e+001  1,51000e+002  6,60000e+001  1,02128e+000  4,54578e+001  2,99055e-002  1,49572e+000  3,50236e+002  2,50000e+001  3,57259e+004  4,92450e+002  3,57293e+004  1,37841e-002  2,79856e-005  3,85756e-007  2,79882e-005
            14  2,21006e+001  1,55000e+002  7,10000e+001  1,03989e+000  4,62902e+001  3,17805e-002  1,49620e+000  3,50072e+002  2,50000e+001  3,57111e+004  5,15474e+002  3,57148e+004  1,44346e-002  2,79967e-005  4,04120e-007  2,79996e-005
            15  2,23419e+001  1,66000e+002  7,60000e+001  1,01678e+000  4,52442e+001  3,36681e-002  1,49569e+000  3,50320e+002  2,50000e+001  3,57122e+004  5,39181e+002  3,57162e+004  1,50980e-002  2,79953e-005  4,22672e-007  2,79985e-005
            16  2,25520e+001  1,75000e+002  8,10000e+001  1,01075e+000  4,49391e+001  3,51587e-002  1,49609e+000  3,50648e+002  2,50000e+001  3,57287e+004  5,48796e+002  3,57329e+004  1,53601e-002  2,79821e-005  4,29808e-007  2,79854e-005
            17  2,24350e+001  1,84000e+002  8,60000e+001  1,00909e+000  4,48287e+001  3,60925e-002  1,49712e+000  3,50969e+002  2,50000e+001  3,57442e+004  5,38283e+002  3,57483e+004  1,50593e-002  2,79702e-005  4,21212e-007  2,79734e-005
            18  2,23506e+001  1,88000e+002  9,10000e+001  1,00875e+000  4,47803e+001  3,70607e-002  1,49714e+000  3,51247e+002  2,50000e+001  3,57563e+004  5,28966e+002  3,57602e+004  1,47936e-002  2,79610e-005  4,13644e-007  2,79640e-005
            19  2,20949e+001  2,06000e+002  9,60000e+001  1,01480e+000  4,50249e+001  3,80268e-002  1,49772e+000  3,51523e+002  2,50000e+001  3,57600e+004  5,19449e+002  3,57637e+004  1,45260e-002  2,79583e-005  4,06123e-007  2,79613e-005
            20  2,20204e+001  2,17000e+002  1,01000e+002  9,80617e-001  4,35067e+001  3,85917e-002  1,50048e+000  3,51734e+002  2,50000e+001  3,57453e+004  4,95172e+002  3,57487e+004  1,38528e-002  2,79704e-005  3,87469e-007  2,79731e-005
cfrp_f1_1-100-5Hz_1N, 18.04.2021 18:38:55
