         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  3,06913e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,01837e+002  1,52233e-001  0,00000e+000  1,97525e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  3,06222e+001  4,00000e+001  6,00000e+000  1,00000e-001  3,64890e+001  1,39066e-001  1,43750e-001  2,73259e+002  2,50000e+001  1,32510e+003  1,83693e+002  1,33778e+003  1,38625e-001  7,40429e-004  1,02642e-004  7,47509e-004
             2  3,04842e+001  5,80000e+001  1,10000e+001  1,96513e-001  1,48324e+001  1,17203e-001  4,38508e-001  3,02614e+002  2,50000e+001  6,45337e+003  7,46378e+002  6,49639e+003  1,15657e-001  1,52912e-004  1,76854e-005  1,53932e-004
             3  3,06699e+001  7,90000e+001  1,60000e+001  1,26538e+000  4,71167e+001  9,70821e-002  7,47563e-001  3,21575e+002  2,50000e+001  1,31870e+004  1,24622e+003  1,32457e+004  9,45040e-002  7,51611e-005  7,10302e-006  7,54960e-005
             4  3,06675e+001  8,20000e+001  2,10000e+001  9,22220e-001  2,92514e+001  8,64260e-002  9,04592e-001  3,33561e+002  2,50000e+001  1,55272e+004  1,28177e+003  1,55800e+004  8,25502e-002  6,39673e-005  5,28051e-006  6,41849e-005
             5  3,05853e+001  1,01000e+002  2,60000e+001  8,93106e-001  2,47267e+001  3,63999e-002  1,06415e+000  3,48610e+002  2,50000e+001  1,78755e+004  5,44651e+002  1,78838e+004  3,04692e-002  5,58906e-005  1,70294e-006  5,59166e-005
             6  3,05622e+001  1,04000e+002  3,10000e+001  9,58129e-001  2,23196e+001  2,59501e-002  1,21795e+000  3,58119e+002  2,50000e+001  2,13120e+004  3,97461e+002  2,13157e+004  1,86496e-002  4,69055e-005  8,74770e-007  4,69137e-005
             7  3,05168e+001  1,10000e+002  3,60000e+001  9,86124e-001  2,16604e+001  2,41084e-002  1,33689e+000  3,62517e+002  2,50000e+001  2,26258e+004  3,51458e+002  2,26285e+004  1,55335e-002  4,41867e-005  6,86376e-007  4,41921e-005
             8  3,05309e+001  1,13000e+002  4,10000e+001  1,00142e+000  2,14839e+001  2,25509e-002  1,41431e+000  3,65704e+002  2,50000e+001  2,31734e+004  2,94130e+002  2,31752e+004  1,26926e-002  4,31460e-005  5,47634e-007  4,31495e-005
             9  3,06017e+001  1,21000e+002  4,60000e+001  9,98345e-001  2,11327e+001  2,16967e-002  1,46926e+000  3,67880e+002  2,50000e+001  2,34883e+004  2,48159e+002  2,34896e+004  1,05652e-002  4,25697e-005  4,49759e-007  4,25721e-005
            10  3,06679e+001  1,24000e+002  5,10000e+001  1,01826e+000  2,15032e+001  2,35597e-002  1,48555e+000  3,68386e+002  2,50000e+001  2,35398e+004  2,63859e+002  2,35412e+004  1,12091e-002  4,24760e-005  4,76117e-007  4,24786e-005
            11  3,07338e+001  1,34000e+002  5,60000e+001  1,01019e+000  2,13918e+001  2,60142e-002  1,48495e+000  3,68210e+002  2,50000e+001  2,34672e+004  2,92301e+002  2,34690e+004  1,24558e-002  4,26061e-005  5,30692e-007  4,26094e-005
            12  3,06306e+001  1,37000e+002  6,10000e+001  1,01880e+000  2,15999e+001  2,78693e-002  1,48782e+000  3,68008e+002  2,50000e+001  2,34319e+004  3,06751e+002  2,34339e+004  1,30911e-002  4,26695e-005  5,58593e-007  4,26732e-005
            13  3,07977e+001  1,48000e+002  6,60000e+001  1,02263e+000  2,17087e+001  2,92202e-002  1,49342e+000  3,67847e+002  2,50000e+001  2,33943e+004  3,09082e+002  2,33963e+004  1,32119e-002  4,27380e-005  5,64649e-007  4,27417e-005
            14  3,08469e+001  1,60000e+002  7,10000e+001  9,90098e-001  2,10330e+001  3,08150e-002  1,49534e+000  3,67707e+002  2,50000e+001  2,33698e+004  3,17407e+002  2,33720e+004  1,35819e-002  4,27823e-005  5,81066e-007  4,27863e-005
            15  3,07286e+001  1,69000e+002  7,60000e+001  1,00650e+000  2,13655e+001  3,24190e-002  1,49438e+000  3,67540e+002  2,50000e+001  2,33794e+004  3,26424e+002  2,33817e+004  1,39620e-002  4,27644e-005  5,97078e-007  4,27686e-005
            16  3,06207e+001  1,78000e+002  8,10000e+001  1,00543e+000  2,13027e+001  3,39908e-002  1,49309e+000  3,67452e+002  2,50000e+001  2,34154e+004  3,35073e+002  2,34178e+004  1,43099e-002  4,26981e-005  6,11007e-007  4,27025e-005
            17  3,06168e+001  1,88000e+002  8,60000e+001  1,02915e+000  2,17638e+001  3,53091e-002  1,49236e+000  3,67393e+002  2,50000e+001  2,34518e+004  3,37689e+002  2,34542e+004  1,43993e-002  4,26318e-005  6,13867e-007  4,26362e-005
            18  3,06129e+001  1,93000e+002  9,10000e+001  1,04533e+000  2,20636e+001  3,66877e-002  1,49251e+000  3,67283e+002  2,50000e+001  2,34878e+004  3,41758e+002  2,34903e+004  1,45505e-002  4,25663e-005  6,19359e-007  4,25708e-005
            19  3,07217e+001  2,04000e+002  9,60000e+001  1,07010e+000  2,25454e+001  3,75413e-002  1,49297e+000  3,67136e+002  2,50000e+001  2,35211e+004  3,33197e+002  2,35235e+004  1,41659e-002  4,25065e-005  6,02141e-007  4,25107e-005
            20  3,07644e+001  2,12000e+002  1,01000e+002  1,01971e+000  2,14522e+001  3,78486e-002  1,49349e+000  3,66898e+002  2,50000e+001  2,35459e+004  3,11367e+002  2,35480e+004  1,32238e-002  4,24627e-005  5,61518e-007  4,24665e-005
            21  3,08963e+001  2,18000e+002  9,99999e-001  1,00000e+000  2,15082e+001  1,44307e-002  1,49500e+000  3,65536e+002  2,50000e+001  2,31308e+004  3,34730e+002  2,31332e+004  1,44712e-002  4,32234e-005  6,25495e-007  4,32280e-005
            22  3,09438e+001  2,30000e+002  6,00000e+000  1,04169e+000  2,24645e+001  1,45344e-002  1,49656e+000  3,66623e+002  2,50000e+001  2,30682e+004  3,07284e+002  2,30703e+004  1,33207e-002  4,33420e-005  5,77344e-007  4,33458e-005
            23  3,10329e+001  2,42000e+002  1,10000e+001  1,00501e+000  2,16624e+001  1,50059e-002  1,49796e+000  3,66954e+002  2,50000e+001  2,30794e+004  2,89491e+002  2,30812e+004  1,25433e-002  4,33218e-005  5,43397e-007  4,33252e-005
            24  3,10366e+001  2,43000e+002  1,60000e+001  1,26261e+000  2,71723e+001  1,61503e-002  1,49855e+000  3,67141e+002  2,50000e+001  2,31149e+004  2,87845e+002  2,31167e+004  1,24528e-002  4,32555e-005  5,38652e-007  4,32588e-005
            25  3,10137e+001  2,45000e+002  2,10000e+001  1,04470e+000  2,24372e+001  1,75682e-002  1,49891e+000  3,67291e+002  2,50000e+001  2,31608e+004  2,92790e+002  2,31626e+004  1,26416e-002  4,31696e-005  5,45734e-007  4,31730e-005
            26  3,09844e+001  2,55000e+002  2,60000e+001  1,00476e+000  2,15677e+001  1,80469e-002  1,49941e+000  3,67416e+002  2,50000e+001  2,31713e+004  2,75076e+002  2,31729e+004  1,18714e-002  4,31508e-005  5,12262e-007  4,31538e-005
            27  3,09237e+001  2,57000e+002  3,10000e+001  1,00085e+000  2,14547e+001  1,96064e-002  1,49986e+000  3,67461e+002  2,50000e+001  2,32001e+004  2,83149e+002  2,32018e+004  1,22047e-002  4,30969e-005  5,25983e-007  4,31001e-005
            28  3,08695e+001  2,58000e+002  3,60000e+001  1,00017e+000  2,14129e+001  2,09873e-002  1,50000e+000  3,67461e+002  2,50000e+001  2,32264e+004  2,86980e+002  2,32282e+004  1,23557e-002  4,30478e-005  5,31888e-007  4,30511e-005
