         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  3,11624e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,01496e+002  1,21185e+000  0,00000e+000  1,87964e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  3,09198e+001  4,00000e+001  6,00000e+000  5,50000e-002  4,16286e+001  1,48114e-001  1,12500e-001  2,67032e+002  2,50000e+001  6,37618e+002  9,42260e+001  6,44543e+002  1,47778e-001  1,53482e-003  2,26813e-004  1,55149e-003
             2  3,07519e+001  5,80000e+001  1,10000e+001  1,68797e-001  1,86628e+001  1,53961e-001  4,21711e-001  3,01772e+002  2,50000e+001  4,37581e+003  6,69562e+002  4,42673e+003  1,53015e-001  2,23301e-004  3,41683e-005  2,25900e-004
             3  3,08629e+001  8,00000e+001  1,60000e+001  1,24910e+000  5,77350e+001  1,04647e-001  6,57655e-001  3,21205e+002  2,50000e+001  1,05914e+004  1,08029e+003  1,06463e+004  1,01997e-001  9,34443e-005  9,53105e-006  9,39291e-005
             4  3,07798e+001  1,03000e+002  2,10000e+001  8,54958e-001  2,94632e+001  8,69159e-002  8,47556e-001  3,33770e+002  2,50000e+001  1,42752e+004  1,18425e+003  1,43242e+004  8,29590e-002  6,95730e-005  5,77170e-006  6,98120e-005
             5  3,08506e+001  1,06000e+002  2,60000e+001  8,60271e-001  2,52024e+001  1,99571e-002  1,01009e+000  3,49752e+002  2,50000e+001  1,68849e+004  2,32097e+002  1,68865e+004  1,37458e-002  5,92134e-005  8,13937e-007  5,92189e-005
             6  3,08698e+001  1,19000e+002  3,10000e+001  9,71783e-001  2,23934e+001  1,23497e-002  1,16610e+000  3,60164e+002  2,50000e+001  2,15525e+004  1,03271e+002  2,15528e+004  4,79161e-003  4,63973e-005  2,22317e-007  4,63978e-005
             7  3,09339e+001  1,22000e+002  3,60000e+001  1,00007e+000  2,15110e+001  1,87877e-002  1,29195e+000  3,65183e+002  2,50000e+001  2,31165e+004  2,33700e+002  2,31176e+004  1,01097e-002  4,32548e-005  4,37292e-007  4,32570e-005
             8  3,11322e+001  1,31000e+002  4,10000e+001  1,01374e+000  2,13255e+001  2,25678e-002  1,37654e+000  3,68821e+002  2,50000e+001  2,36423e+004  3,00611e+002  2,36442e+004  1,27150e-002  4,22902e-005  5,37719e-007  4,22937e-005
             9  3,12174e+001  1,36000e+002  4,60000e+001  1,01052e+000  2,11529e+001  2,43379e-002  1,43500e+000  3,70105e+002  2,50000e+001  2,37569e+004  3,15128e+002  2,37590e+004  1,32647e-002  4,20857e-005  5,58254e-007  4,20894e-005
            10  3,11264e+001  1,46000e+002  5,10000e+001  1,00991e+000  2,12956e+001  2,55040e-002  1,48133e+000  3,70266e+002  2,50000e+001  2,35744e+004  3,11052e+002  2,35764e+004  1,31945e-002  4,24116e-005  5,59601e-007  4,24153e-005
            11  3,11721e+001  1,49000e+002  5,60000e+001  1,00927e+000  2,14605e+001  2,66147e-002  1,49552e+000  3,70221e+002  2,50000e+001  2,33684e+004  3,05373e+002  2,33704e+004  1,30678e-002  4,27856e-005  5,59112e-007  4,27892e-005
            12  3,11221e+001  1,60000e+002  6,10000e+001  9,98547e-001  2,13113e+001  2,78674e-002  1,49474e+000  3,70051e+002  2,50000e+001  2,32739e+004  3,04593e+002  2,32759e+004  1,30873e-002  4,29593e-005  5,62223e-007  4,29630e-005
            13  3,11572e+001  1,70000e+002  6,60000e+001  9,95764e-001  2,12937e+001  2,94612e-002  1,49372e+000  3,69978e+002  2,50000e+001  2,32202e+004  3,12448e+002  2,32223e+004  1,34558e-002  4,30581e-005  5,79383e-007  4,30620e-005
            14  3,12302e+001  1,81000e+002  7,10000e+001  1,01358e+000  2,16667e+001  3,11667e-002  1,49248e+000  3,69936e+002  2,50000e+001  2,32213e+004  3,23686e+002  2,32236e+004  1,39392e-002  4,30555e-005  6,00157e-007  4,30597e-005
