         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,26650e+001  2,20000e+001  9,99999e-001  0,00000e+000  1,01236e+002  2,79667e-001  0,00000e+000  1,97096e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,26553e+001  4,10000e+001  6,00000e+000  4,50000e-002  4,27240e+001  4,17044e-002  6,25000e-002  2,93688e+002  2,50000e+001  6,70537e+003  2,69970e+002  6,71081e+003  4,02617e-002  1,48893e-004  5,99468e-006  1,49013e-004
             2  2,26453e+001  5,90000e+001  1,10000e+001  6,71523e-002  4,27487e+001  1,81058e-002  1,28984e-001  3,49021e+002  2,50000e+001  1,00090e+004  1,54161e+002  1,00102e+004  1,54022e-002  9,98861e-005  1,53847e-006  9,98980e-005
             3  2,26413e+001  6,20000e+001  1,60000e+001  1,87030e-001  1,05382e+002  6,85064e-003  1,69991e-001  3,76215e+002  2,50000e+001  1,13098e+004  3,28550e+001  1,13099e+004  2,90500e-003  8,84181e-005  2,56855e-007  8,84185e-005
             4  2,26429e+001  7,40000e+001  2,10000e+001  1,89032e-001  1,03214e+002  5,61344e-003  1,93444e-001  3,92262e+002  2,50000e+001  1,16703e+004  5,04942e+000  1,16703e+004  4,32672e-004  8,56874e-005  3,70745e-008  8,56874e-005
             5  2,26487e+001  7,70000e+001  2,60000e+001  1,91614e-001  1,02650e+002  9,87291e-003  2,19834e-001  4,14446e+002  2,50000e+001  1,18935e+004  4,11633e+001  1,18936e+004  3,46100e-003  8,40786e-005  2,90996e-007  8,40791e-005
             6  2,26439e+001  8,60000e+001  3,10000e+001  1,91844e-001  9,92004e+001  9,05096e-003  2,43410e-001  4,30386e+002  2,50000e+001  1,23206e+004  1,73016e+001  1,23207e+004  1,40428e-003  8,11644e-005  1,13978e-007  8,11645e-005
             7  2,26437e+001  9,00000e+001  3,60000e+001  1,94547e-001  1,00654e+002  1,25923e-002  2,56624e-001  4,37551e+002  2,50000e+001  1,23117e+004  4,57277e+001  1,23118e+004  3,71416e-003  8,12223e-005  3,01673e-007  8,12228e-005
             8  2,26446e+001  9,90000e+001  4,10000e+001  1,90109e-001  9,94196e+001  1,30595e-002  2,64428e-001  4,41470e+002  2,50000e+001  1,21781e+004  3,58971e+001  1,21782e+004  2,94768e-003  8,21139e-005  2,42045e-007  8,21142e-005
             9  2,26496e+001  1,02000e+002  4,60000e+001  1,89618e-001  1,00383e+002  1,15711e-002  2,66014e-001  4,42292e+002  2,50000e+001  1,20276e+004  2,69783e+000  1,20276e+004  2,24303e-004  8,31421e-005  1,86490e-008  8,31421e-005
            10  2,26392e+001  1,10000e+002  5,10000e+001  1,89612e-001  1,01770e+002  7,89689e-003  2,64596e-001  4,41543e+002  2,50000e+001  1,18604e+004 -5,55816e+001  1,18605e+004 -4,68631e-003  8,43123e-005 -3,95114e-007  8,43132e-005
