         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,26282e+001  2,10000e+001  9,99999e-001  3,50000e-002  9,61121e+001  6,83719e-003  0,00000e+000  2,57833e+002  2,50000e+001  2,31956e+003  1,52801e+001  2,31961e+003  6,58750e-003  4,31098e-004  2,83986e-006  4,31107e-004
             1  2,26856e+001  3,90000e+001  6,00000e+000  5,81222e-002  5,06106e+001  1,11829e-002  1,03125e-001  3,49085e+002  2,50000e+001  7,31696e+003  7,10226e+001  7,31730e+003  9,70658e-003  1,36656e-004  1,32646e-006  1,36662e-004
             2  2,27647e+001  5,70000e+001  1,10000e+001  6,94992e-002  4,12521e+001  1,01975e-002  1,65656e-001  3,95419e+002  2,50000e+001  1,07361e+004  8,03948e+001  1,07364e+004  7,48828e-003  9,31386e-005  6,97448e-007  9,31412e-005
             3  2,27438e+001  6,00000e+001  1,60000e+001  1,91006e-001  1,05789e+002  7,65563e-003  1,99729e-001  4,13929e+002  2,50000e+001  1,15059e+004  4,26939e+001  1,15060e+004  3,71060e-003  8,69106e-005  3,22491e-007  8,69112e-005
             4  2,26931e+001  7,00000e+001  2,10000e+001  1,93522e-001  1,03989e+002  7,44471e-003  2,19408e-001  4,23642e+002  2,50000e+001  1,18586e+004  2,68629e+001  1,18586e+004  2,26528e-003  8,43269e-005  1,91024e-007  8,43271e-005
             5  2,26857e+001  7,30000e+001  2,60000e+001  1,96412e-001  9,94244e+001  9,39253e-003  2,43836e-001  4,39337e+002  2,50000e+001  1,25874e+004  3,75153e+001  1,25875e+004  2,98039e-003  7,94438e-005  2,36773e-007  7,94442e-005
             6  2,26647e+001  8,20000e+001  3,10000e+001  1,97248e-001  9,90383e+001  1,16644e-002  2,61784e-001  4,49477e+002  2,50000e+001  1,26886e+004  5,10054e+001  1,26887e+004  4,01979e-003  7,88097e-005  3,16798e-007  7,88104e-005
             7  2,26562e+001  8,50000e+001  3,60000e+001  1,95193e-001  1,00365e+002  1,33980e-002  2,69493e-001  4,51608e+002  2,50000e+001  1,23883e+004  5,60017e+001  1,23885e+004  4,52052e-003  8,07195e-005  3,64894e-007  8,07203e-005
             8  2,26286e+001  9,60000e+001  4,10000e+001  1,91402e-001  1,00014e+002  1,43551e-002  2,73148e-001  4,50992e+002  2,50000e+001  1,21880e+004  5,17298e+001  1,21881e+004  4,24432e-003  8,20463e-005  3,48230e-007  8,20470e-005
             9  2,26225e+001  1,00000e+002  4,60000e+001  1,95462e-001  1,03812e+002  1,35675e-002  2,72755e-001  4,49312e+002  2,50000e+001  1,19886e+004  2,66403e+001  1,19887e+004  2,22213e-003  8,34120e-005  1,85352e-007  8,34122e-005
            10  2,25962e+001  1,11000e+002  5,10000e+001  1,88123e-001  1,01415e+002  1,00628e-002  2,70571e-001  4,47194e+002  2,50000e+001  1,18085e+004 -2,97437e+001  1,18086e+004 -2,51883e-003  8,46839e-005 -2,13305e-007  8,46842e-005
            11  2,25936e+001  1,12000e+002  5,60000e+001  1,83492e-001  1,00234e+002  4,88321e-003  2,68435e-001  4,45711e+002  2,50000e+001  1,16501e+004 -1,04103e+002  1,16506e+004 -8,93579e-003  8,58291e-005 -7,66950e-007  8,58325e-005
            12  2,25727e+001  1,26000e+002  6,10000e+001  1,83528e-001  1,01505e+002 -2,18122e-004  2,66536e-001  4,44751e+002  2,50000e+001  1,15023e+004 -1,75697e+002  1,15037e+004 -1,52749e-002  8,69187e-005 -1,32767e-006  8,69289e-005
            13  2,25805e+001  1,36000e+002  6,60000e+001  1,75930e-001  9,84905e+001 -7,45394e-005  2,65590e-001  4,44806e+002  2,50000e+001  1,13600e+004 -1,85900e+002  1,13616e+004 -1,63644e-002  8,80044e-005 -1,44014e-006  8,80161e-005
            14  2,26468e+001  1,59000e+002  7,10000e+001  1,76194e-001  9,98346e+001  4,19093e-003  2,65139e-001  4,45014e+002  2,50000e+001  1,12207e+004 -1,49551e+002  1,12217e+004 -1,33281e-002  8,91048e-005 -1,18760e-006  8,91127e-005
            15  2,26431e+001  1,69000e+002  7,60000e+001  1,71662e-001  9,85475e+001  1,06553e-002  2,65000e-001  4,45221e+002  2,50000e+001  1,10717e+004 -8,95827e+001  1,10720e+004 -8,09116e-003  9,03147e-005 -7,30750e-007  9,03176e-005
            16  2,26348e+001  1,72000e+002  8,10000e+001  1,73295e-001  1,01121e+002  1,31902e-002  2,65000e-001  4,45491e+002  2,50000e+001  1,08886e+004 -7,38975e+001  1,08888e+004 -6,78671e-003  9,18353e-005 -6,23259e-007  9,18374e-005
            17  2,27131e+001  1,86000e+002  8,60000e+001  1,69257e-001  1,00180e+002  9,49056e-003  2,65000e-001  4,45532e+002  2,50000e+001  1,07300e+004 -1,25769e+002  1,07308e+004 -1,17212e-002  9,31836e-005 -1,09223e-006  9,31900e-005
            18  2,27483e+001  1,98000e+002  9,10000e+001  1,68092e-001  1,00763e+002  1,59498e-004  2,65000e-001  4,45796e+002  2,50000e+001  1,05882e+004 -2,36044e+002  1,05908e+004 -2,22931e-002  9,43979e-005 -2,10443e-006  9,44214e-005
            19  2,27442e+001  2,07000e+002  9,60000e+001  1,64917e-001  1,00172e+002 -1,44877e-002  2,65000e-001  4,46526e+002  2,50000e+001  1,04398e+004 -3,98757e+002  1,04474e+004 -3,81958e-002  9,56475e-005 -3,65333e-006  9,57172e-005
            20  2,27557e+001  2,11000e+002  1,01000e+002  1,61067e-001  9,93187e+001 -2,66776e-002  2,65000e-001  4,47495e+002  2,50000e+001  1,02727e+004 -5,30599e+002  1,02864e+004 -5,16514e-002  9,70864e-005 -5,01465e-006  9,72159e-005
cfrp, 22.04.2021 14:15:06
