         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,26040e+001  2,10000e+001  9,99999e-001  0,00000e+000  1,00877e+002  1,18316e-001  0,00000e+000  1,97244e+002  2,50000e+001  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000  0,00000e+000
             1  2,25423e+001  3,90000e+001  6,00000e+000  2,00000e-002  4,57440e+001  4,18095e-002  4,68750e-002  2,98348e+002  2,50000e+001  2,78274e+003  1,12304e+002  2,78500e+003  4,03573e-002  3,58774e-004  1,44791e-005  3,59066e-004
             2  2,25722e+001  5,80000e+001  1,10000e+001  5,44340e-002  5,01074e+001  2,67078e-002  1,09219e-001  3,60070e+002  2,50000e+001  6,91937e+003  1,66123e+002  6,92136e+003  2,40083e-002  1,44439e-004  3,46773e-006  1,44480e-004
             3  2,25575e+001  6,10000e+001  1,60000e+001  1,59346e-001  1,10769e+002  1,93967e-002  1,50145e-001  3,91956e+002  2,50000e+001  9,16489e+003  1,41679e+002  9,16599e+003  1,54589e-002  1,09086e-004  1,68635e-006  1,09099e-004
             4  2,25453e+001  7,80000e+001  2,10000e+001  1,67333e-001  1,07870e+002  1,89295e-002  1,73275e-001  4,10653e+002  2,50000e+001  9,88271e+003  1,35963e+002  9,88365e+003  1,37576e-002  1,01168e-004  1,39183e-006  1,01177e-004
             5  2,25653e+001  8,10000e+001  2,60000e+001  1,68411e-001  1,04152e+002  2,09051e-002  1,98492e-001  4,35573e+002  2,50000e+001  1,03005e+004  1,49365e+002  1,03015e+004  1,45008e-002  9,70627e-005  1,40749e-006  9,70729e-005
             6  2,25379e+001  9,00000e+001  3,10000e+001  1,75845e-001  9,97948e+001  2,05756e-002  2,22562e-001  4,54394e+002  2,50000e+001  1,12242e+004  1,45213e+002  1,12251e+004  1,29375e-002  8,90784e-005  1,15245e-006  8,90858e-005
             7  2,25329e+001  9,30000e+001  3,60000e+001  1,77201e-001  9,97180e+001  2,37755e-002  2,37813e-001  4,63681e+002  2,50000e+001  1,13175e+004  1,68698e+002  1,13187e+004  1,49060e-002  8,83394e-005  1,31679e-006  8,83492e-005
             8  2,25261e+001  1,00000e+002  4,10000e+001  1,75647e-001  1,00014e+002  2,50137e-002  2,48072e-001  4,69405e+002  2,50000e+001  1,11829e+004  1,66749e+002  1,11842e+004  1,49110e-002  8,94023e-005  1,33308e-006  8,94122e-005
             9  2,25690e+001  1,03000e+002  4,60000e+001  1,79512e-001  1,03547e+002  2,24866e-002  2,51610e-001  4,71985e+002  2,50000e+001  1,10372e+004  1,23039e+002  1,10379e+004  1,11477e-002  9,05911e-005  1,00988e-006  9,05967e-005
            10  2,26205e+001  1,12000e+002  5,10000e+001  1,73919e-001  1,01889e+002  1,73840e-002  2,51855e-001  4,72680e+002  2,50000e+001  1,08654e+004  5,22351e+001  1,08655e+004  4,80746e-003  9,20330e-005  4,42445e-007  9,20340e-005
            11  2,26212e+001  1,17000e+002  5,60000e+001  1,71765e-001  1,02236e+002  1,19816e-002  2,52028e-001  4,73779e+002  2,50000e+001  1,06917e+004 -1,95873e+001  1,06917e+004 -1,83201e-003  9,35301e-005 -1,71348e-007  9,35302e-005
            12  2,27218e+001  1,24000e+002  6,10000e+001  1,65108e-001  9,97001e+001  1,06841e-002  2,51800e-001  4,74421e+002  2,50000e+001  1,05358e+004 -4,59736e+001  1,05359e+004 -4,36357e-003  9,49129e-005 -4,14159e-007  9,49138e-005
            13  2,27157e+001  1,33000e+002  6,60000e+001  1,09611e-001  6,71948e+001  1,55479e-002  2,51726e-001  4,74781e+002  2,50000e+001  1,03749e+004 -7,56927e+000  1,03749e+004 -7,29577e-004  9,63866e-005 -7,03214e-008  9,63867e-005
            14  2,27674e+001  1,47000e+002  7,10000e+001  1,60205e-001  9,98812e+001  2,42137e-002  2,52026e-001  4,75103e+002  2,50000e+001  1,01977e+004  6,84161e+001  1,01980e+004  6,70895e-003  9,80565e-005  6,57856e-007  9,80587e-005
            15  2,27735e+001  1,50000e+002  7,60000e+001  1,59408e-001  1,01256e+002  3,09984e-002  2,52006e-001  4,75344e+002  2,50000e+001  1,00052e+004  1,22721e+002  1,00059e+004  1,22658e-002  9,99332e-005  1,22576e-006  9,99407e-005
            16  2,26578e+001  1,63000e+002  8,10000e+001  1,54453e-001  1,00392e+002  3,69675e-002  2,51356e-001  4,75131e+002  2,50000e+001  9,77327e+003  1,66214e+002  9,77468e+003  1,70070e-002  1,02290e-004  1,73965e-006  1,02305e-004
            17  2,26187e+001  1,72000e+002  8,60000e+001  1,50214e-001  9,95215e+001  3,11515e-002  2,49868e-001  4,74104e+002  2,50000e+001  9,58526e+003  9,54127e+001  9,58574e+003  9,95410e-003  1,04317e-004  1,03838e-006  1,04322e-004
