         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,22624e+001  2,00000e+001  9,99999e-001  4,30000e-001  5,13352e+001  5,05691e-002  2,55000e-001  2,15397e+002  2,50000e+001  4,76546e+003  2,40485e+002  4,77152e+003  5,04642e-002  2,09310e-004  1,05627e-005  2,09577e-004
             1  2,23716e+001  3,90000e+001  6,00000e+000  2,54776e-001  1,47138e+001  3,81380e-002  5,67500e-001  2,42066e+002  2,50000e+001  9,87836e+003  3,63813e+002  9,88506e+003  3,68293e-002  1,01094e-004  3,72323e-006  1,01163e-004
             2  2,22733e+001  5,70000e+001  1,10000e+001  2,83585e-001  1,27495e+001  3,14201e-002  9,27117e-001  2,69311e+002  2,50000e+001  1,27076e+004  3,66876e+002  1,27129e+004  2,88706e-002  7,86275e-005  2,27003e-006  7,86603e-005
             3  2,23490e+001  7,80000e+001  1,60000e+001  9,96457e-001  4,24479e+001  2,73461e-002  1,07619e+000  2,80515e+002  2,50000e+001  1,34166e+004  3,15796e+002  1,34203e+004  2,35377e-002  7,44932e-005  1,75340e-006  7,45139e-005
             4  2,23537e+001  8,10000e+001  2,10000e+001  9,82225e-001  4,09014e+001  2,68547e-002  1,17235e+000  2,86540e+002  2,50000e+001  1,37262e+004  2,99299e+002  1,37295e+004  2,18049e-002  7,28187e-005  1,58781e-006  7,28360e-005
             5  2,24205e+001  9,00000e+001  2,60000e+001  6,98496e-001  2,78575e+001  2,60298e-002  1,28693e+000  2,94594e+002  2,50000e+001  1,43345e+004  2,82946e+002  1,43373e+004  1,97388e-002  6,97345e-005  1,37647e-006  6,97481e-005
             6  2,24348e+001  9,30000e+001  3,10000e+001  1,00484e+000  3,96388e+001  2,68571e-002  1,38122e+000  3,01036e+002  2,50000e+001  1,44915e+004  2,80141e+002  1,44942e+004  1,93314e-002  6,89802e-005  1,33348e-006  6,89931e-005
             7  2,23992e+001  1,02000e+002  3,60000e+001  1,00673e+000  4,00921e+001  2,83737e-002  1,44265e+000  3,04910e+002  2,50000e+001  1,43515e+004  2,81511e+002  1,43543e+004  1,96155e-002  6,96522e-005  1,36626e-006  6,96656e-005
             8  2,24303e+001  1,05000e+002  4,10000e+001  1,00349e+000  4,01493e+001  2,99760e-002  1,46162e+000  3,05655e+002  2,50000e+001  1,42819e+004  2,85444e+002  1,42847e+004  1,99865e-002  6,99910e-005  1,39887e-006  7,00049e-005
             9  2,24211e+001  1,12000e+002  4,60000e+001  1,01623e+000  4,07940e+001  3,11834e-002  1,46353e+000  3,05133e+002  2,50000e+001  1,42314e+004  2,84065e+002  1,42343e+004  1,99604e-002  7,02390e-005  1,40200e-006  7,02530e-005
            10  2,23894e+001  1,17000e+002  5,10000e+001  9,95488e-001  4,00254e+001  3,21039e-002  1,46493e+000  3,04704e+002  2,50000e+001  1,42054e+004  2,79076e+002  1,42081e+004  1,96458e-002  7,03687e-005  1,38245e-006  7,03823e-005
            11  2,23437e+001  1,26000e+002  5,60000e+001  1,00512e+000  4,04131e+001  3,28199e-002  1,46608e+000  3,04327e+002  2,50000e+001  1,42019e+004  2,71623e+002  1,42045e+004  1,91258e-002  7,03874e-005  1,34622e-006  7,04003e-005
            12  2,23276e+001  1,36000e+002  6,10000e+001  1,01387e+000  4,07294e+001  3,36151e-002  1,46407e+000  3,04191e+002  2,50000e+001  1,42105e+004  2,65536e+002  1,42130e+004  1,86859e-002  7,03460e-005  1,31448e-006  7,03582e-005
            13  2,23139e+001  1,41000e+002  6,60000e+001  9,95689e-001  3,99590e+001  3,48072e-002  1,46168e+000  3,04293e+002  2,50000e+001  1,42207e+004  2,65153e+002  1,42232e+004  1,86456e-002  7,02957e-005  1,31070e-006  7,03079e-005
            14  2,22948e+001  1,48000e+002  7,10000e+001  1,05346e+000  4,22364e+001  3,62782e-002  1,46210e+000  3,04582e+002  2,50000e+001  1,42300e+004  2,68750e+002  1,42325e+004  1,88862e-002  7,02491e-005  1,32674e-006  7,02616e-005
            15  2,22668e+001  1,60000e+002  7,60000e+001  1,01067e+000  4,04805e+001  3,79704e-002  1,46301e+000  3,04765e+002  2,50000e+001  1,42392e+004  2,75523e+002  1,42419e+004  1,93496e-002  7,02023e-005  1,35839e-006  7,02154e-005
            16  2,22409e+001  1,68000e+002  8,10000e+001  1,00329e+000  4,01434e+001  3,96264e-002  1,46370e+000  3,04903e+002  2,50000e+001  1,42487e+004  2,81797e+002  1,42515e+004  1,97770e-002  7,01545e-005  1,38745e-006  7,01682e-005
            17  2,22200e+001  1,72000e+002  8,60000e+001  1,02958e+000  4,11512e+001  4,12059e-002  1,46425e+000  3,05130e+002  2,50000e+001  1,42584e+004  2,86988e+002  1,42613e+004  2,01276e-002  7,01055e-005  1,41106e-006  7,01197e-005
