         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,31225e+001  2,20000e+001  9,99999e-001  1,00000e+000  1,76084e+001  1,72941e-001  1,56000e+000  4,10137e+002  2,50000e+001  1,94010e+004  3,46732e+003  1,97084e+004  1,78719e-001  4,99484e-005  8,92672e-006  5,07398e-005
             1  2,31349e+001  4,10000e+001  6,00000e+000  5,11302e-001  8,00163e+000  2,87232e-001  1,82875e+000  4,23049e+002  2,50000e+001  2,12752e+004  6,42881e+003  2,22253e+004  3,02174e-001  4,30703e-005  1,30147e-005  4,49937e-005
             2  2,29471e+001  5,90000e+001  1,10000e+001  5,20722e-001  7,69498e+000  3,00806e-001  2,08391e+000  4,30514e+002  2,50000e+001  2,24706e+004  7,11376e+003  2,35697e+004  3,16581e-001  4,04487e-005  1,28053e-005  4,24273e-005
             3  2,29178e+001  6,20000e+001  1,60000e+001  1,00500e+000  1,68321e+001  1,71484e-001  2,30312e+000  4,36868e+002  2,50000e+001  2,04386e+004  3,54604e+003  2,07439e+004  1,73497e-001  4,74974e-005  8,24068e-006  4,82070e-005
             4  2,28710e+001  8,20000e+001  2,10000e+001  9,96240e-001  1,66818e+001  1,75943e-001  2,65219e+000  4,43628e+002  2,50000e+001  2,04291e+004  3,61402e+003  2,07463e+004  1,76906e-001  4,74644e-005  8,39672e-006  4,82014e-005
             5  2,28604e+001  8,50000e+001  2,60000e+001  1,01051e+000  1,68513e+001  1,79929e-001  2,95707e+000  4,50080e+002  2,50000e+001  2,05025e+004  3,68709e+003  2,08314e+004  1,79836e-001  4,72466e-005  8,49666e-006  4,80045e-005
             6  2,28039e+001  1,03000e+002  3,10000e+001  1,00014e+000  1,64017e+001  1,80458e-001  3,23640e+000  4,55648e+002  2,50000e+001  2,08568e+004  3,73690e+003  2,11890e+004  1,79169e-001  4,64546e-005  8,32323e-006  4,71944e-005
             7  2,27904e+001  1,07000e+002  3,60000e+001  1,02785e+000  1,66314e+001  1,98714e-001  3,51328e+000  4,60708e+002  2,50000e+001  2,10714e+004  4,15772e+003  2,14776e+004  1,97316e-001  4,56793e-005  9,01326e-006  4,65601e-005
             8  2,28410e+001  1,25000e+002  4,10000e+001  9,99569e-001  1,59725e+001  2,06487e-001  3,79436e+000  4,65883e+002  2,50000e+001  2,13101e+004  4,35502e+003  2,17505e+004  2,04364e-001  4,50449e-005  9,20556e-006  4,59759e-005
             9  2,28702e+001  1,28000e+002  4,60000e+001  1,03296e+000  1,60367e+001  1,92045e-001  4,05578e+000  4,70585e+002  2,50000e+001  2,20167e+004  4,13492e+003  2,24016e+004  1,87808e-001  4,38726e-005  8,23963e-006  4,46396e-005
            10  2,31083e+001  1,48000e+002  5,10000e+001  1,04201e+000  1,53847e+001  2,39641e-001  4,32402e+000  4,75227e+002  2,50000e+001  2,29360e+004  5,45707e+003  2,35762e+004  2,37926e-001  4,12637e-005  9,81771e-006  4,24156e-005
