         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,59235e+001  9,80000e+001  9,99999e-001  6,05000e-001  2,72387e+000  7,86193e-001  5,26500e+000  3,53133e+002  2,50000e+001  8,04800e+004  9,32024e+004  1,23141e+005  1,15808e+000  5,30741e-006  6,14641e-006  8,12077e-006
             1  2,59636e+001  1,16000e+002  6,00000e+000  3,85000e-001  4,65615e-001  2,62873e-001  5,87437e+000  3,66274e+002  2,50000e+001  5,95999e+005  2,52751e+005  6,47378e+005  4,24080e-001  1,42210e-006  6,03083e-007  1,54469e-006
             2  2,57292e+001  1,25000e+002  1,10000e+001  1,01000e+000  9,13779e-001  4,86703e-001  6,01834e+000  3,72158e+002  2,50000e+001  6,10278e+005  6,95299e+005  9,25138e+005  1,13931e+000  7,13042e-007  8,12379e-007  1,08092e-006
             3  2,55913e+001  1,34000e+002  1,60000e+001  1,12487e+000  1,01965e+000  4,68899e-001  6,04284e+000  3,73058e+002  2,50000e+001  6,35904e+005  6,82035e+005  9,32494e+005  1,07254e+000  7,31307e-007  7,84358e-007  1,07239e-006
             4  2,55551e+001  1,37000e+002  2,10000e+001  1,00500e+000  8,99369e-001  8,59565e-001  6,04057e+000  3,74105e+002  2,50000e+001  1,68856e+005  7,28589e+005  7,47900e+005  4,31486e+000  3,01876e-007  1,30255e-006  1,33708e-006
             5  2,54859e+001  1,46000e+002  2,60000e+001  7,00000e-001  6,46959e-001  7,85858e-001  6,07566e+000  3,75534e+002  2,50000e+001  2,47668e+005  7,11265e+005  7,53152e+005  2,87185e+000  4,36621e-007  1,25391e-006  1,32775e-006
             6  2,54673e+001  1,49000e+002  3,10000e+001  1,00500e+000  8,03131e-001  8,53775e-001  6,05969e+000  3,76259e+002  2,50000e+001  1,38888e+005  8,42879e+005  8,54245e+005  6,06877e+000  1,90326e-007  1,15505e-006  1,17062e-006
             7  2,53996e+001  1,59000e+002  3,60000e+001  1,19852e+000  9,53091e-001  6,60294e-001  6,01503e+000  3,75698e+002  2,50000e+001  3,81919e+005  9,14749e+005  9,91276e+005  2,39514e+000  3,88671e-007  9,30921e-007  1,00880e-006
             8  2,53922e+001  1,64000e+002  4,10000e+001  1,00500e+000  7,65345e-001  6,69782e-001  5,96935e+000  3,74599e+002  2,50000e+001  3,58033e+005  9,78550e+005  1,04199e+006  2,73313e+000  3,29757e-007  9,01268e-007  9,59700e-007
             9  2,57010e+001  1,73000e+002  4,60000e+001  1,96199e+000  1,45588e+000  5,74956e-001  5,92091e+000  3,73228e+002  2,50000e+001  5,19440e+005  1,04870e+006  1,17030e+006  2,01891e+000  3,79264e-007  7,65702e-007  8,54483e-007
            10  2,56867e+001  1,77000e+002  5,10000e+001  1,00500e+000  7,11337e-001  5,42514e-001  5,87175e+000  3,72192e+002  2,50000e+001  5,80659e+005  1,15480e+006  1,29257e+006  1,98878e+000  3,47548e-007  6,91195e-007  7,73654e-007
