         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            M'            M"            M*     tan_delta            C'            C"            C*
           [#]          [°C]           [s]          [Hz]           [N]          [um]         [rad]           [N]          [um]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]
             0  2,23774e+001  1,30000e+001  9,99999e-001  1,00500e+000  2,12804e+000  8,09529e-001  1,68000e+000  4,69745e+002  2,50000e+001  3,86400e+006  5,66937e+006  6,86092e+006  1,46723e+000  8,20867e-008  1,20440e-007  1,45753e-007
             1  2,23829e+001  2,20000e+001  6,00000e+000  5,85000e-001  2,76109e-001  6,04698e-001  1,56594e+000  4,71681e+002  2,50000e+001 -4,88977e+006  4,70159e+007  4,72695e+007 -9,61515e+000 -2,18840e-009  2,10418e-008  2,11553e-008
             2  2,25403e+001  3,10000e+001  1,10000e+001  5,85000e-001  1,98126e-001  5,21893e-001  1,53612e+000  4,72210e+002  2,50000e+001 -3,60419e+007  4,94547e+007  6,11947e+007 -1,37214e+000 -9,62456e-009  1,32063e-008  1,63413e-008
             3  2,27385e+001  3,60000e+001  1,60000e+001  9,95000e-001  3,19120e-001  5,26532e-001  1,52591e+000  4,72376e+002  2,50000e+001 -3,93308e+007  4,54360e+007  6,00944e+007 -1,15523e+000 -1,08909e-008  1,25815e-008  1,66405e-008
             4  2,28822e+001  4,50000e+001  2,10000e+001  7,10000e-001  2,21933e-001  5,31303e-001  1,51819e+000  4,72491e+002  2,50000e+001 -4,04207e+007  4,34161e+007  5,93194e+007 -1,07411e+000 -1,14871e-008  1,23384e-008  1,68579e-008
             5  2,28404e+001  4,80000e+001  2,60000e+001  9,90000e-001  3,09820e-001  5,39982e-001  1,50467e+000  4,72709e+002  2,50000e+001 -3,98339e+007  4,31435e+007  5,87205e+007 -1,08308e+000 -1,15524e-008  1,25122e-008  1,70298e-008
             6  2,26666e+001  5,70000e+001  3,10000e+001  7,05000e-001  2,16570e-001  5,49206e-001  1,50042e+000  4,72770e+002  2,50000e+001 -4,01400e+007  4,15108e+007  5,77440e+007 -1,03415e+000 -1,20383e-008  1,24494e-008  1,73178e-008
             7  2,25994e+001  6,10000e+001  3,60000e+001  9,90000e-001  2,97572e-001  5,46231e-001  1,50100e+000  4,72739e+002  2,50000e+001 -4,13142e+007  4,02119e+007  5,76530e+007 -9,73319e-001 -1,24296e-008  1,20979e-008  1,73452e-008
             8  2,25057e+001  7,00000e+001  4,10000e+001  7,05000e-001  2,24329e-001  5,11820e-001  1,50113e+000  4,72692e+002  2,50000e+001 -4,12998e+007  4,60538e+007  6,18597e+007 -1,11511e+000 -1,07928e-008  1,20351e-008  1,61656e-008
             9  2,24744e+001  7,50000e+001  4,60000e+001  9,90000e-001  3,23824e-001  5,15823e-001  1,50112e+000  4,72637e+002  2,50000e+001 -3,94333e+007  4,80377e+007  6,21499e+007 -1,21820e+000 -1,02090e-008  1,24366e-008  1,60901e-008
            10  2,25613e+001  8,40000e+001  5,10000e+001  7,10000e-001  2,31312e-001  5,19421e-001  1,50111e+000  4,72577e+002  2,50000e+001 -3,94929e+007  4,76025e+007  6,18522e+007 -1,20534e+000 -1,03231e-008  1,24429e-008  1,61676e-008
